index,Summary
84,"The National Transportation Safety Board determines that the probable cause of this accident was the fracture of the left engine’s front compressor fan hub, which resulted from the failure of Delta Air Lines’ fluorescent penetrant inspection process to detect a detectable fatigue crack initiating from an area of altered microstructure that was created during the drilling process by Volvo for Pratt & Whitney and that went undetected at the time of manufacture. Contributing to the accident was the lack of sufficient redundancy in the in-service inspection program."
85,"The National Transportation Safety Board determines that the probable cause of this accident was the inability of the captain, because of his use of monovision contact lenses, to overcome his misperception of the airplane’s position relative to the runway during the visual portion of the approach. This misperception occurred because of visual illusions produced by the approach over water in limited light conditions, the absence of visible ground features, the rain and fog, and the irregular spacing of the runway lights."
86,"The National Transportation Safety Board determines that the probable causes of the accident, which resulted from a fire in the airplane's class D cargo compartment that was initiated by the actuation of one or more oxygen generators being improperly carried as cargo, were (1) the failure of SabreTech to properly prepare, package, and identify unexpected chemical oxygen generators before presenting them to ValuJet for carriage; (2) the failure of ValuJet to properly oversee its contract maintenance program to ensure compliance with maintenance, maintenance training, and hazardous materials requirements and practices; and (3) the failure of the Federal Aviation Administration (FAA) to require smoke detection and fire suppression systems in class D cargo compartments."
87,"The National Transportation Safety Board determines that the probable cause of the accident, which resulted from the airplane being misloaded to produce a more aft center of gravity and a correspondingly incorrect stabilizer trim setting that precipitated an extreme pitch-up at rotation, was (1) the failure of Fine Air to exercise operational control over the cargo loading process; and (2) the failure of Aeromar to load the airplane as specified by Fine Air. Contributing to the accident was the failure of the Federal Aviation Administration (FAA) to adequately monitor Fine Air's operational control responsibilities for cargo loading and the failure of the FAA to ensure that known cargo-related deficiencies were corrected at Fine Air."
88,"The National Transportation Safety Board determines that the probable causes of this accident were the inappropriate control inputs applied by the flying pilot during a stall recovery attempt, the failure of the nonflying pilot-in-command to recognize, address, and correct these inappropriate control inputs, and the failure of ABX to establish a formal functional evaluation flight program that included adequate program guidelines, requirements and pilot training for performance of these flights. Contributing to the causes of the accident were the inoperative stick shaker stall warning system and the ABX DC-8 flight training simulator’s inadequate fidelity in reproducing the airplane’s stall characteristics."
89,"The National Transportation Safety Board determines that the probable cause of this accident was the failure of the pilots in the King Air A90 to effectively monitor the common traffic advisory frequency or to properly scan for traffic, resulting in their commencing a takeoff roll when the Beech 1900C (United Express flight 5925) was landing on an intersecting runway."
90,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot in command's improper decision to take off into deteriorating weather conditions (including turbulence, gusty winds, and an advancing thunderstorm and associated precipitation) when the airplane was overweight and when the density altitude was higher than he was accustomed to, resulting in a stall caused by failure to maintain airspeed. Contributing to the pilot in command's decision to take off was a desire to adhere to an overly ambitious itinerary, in part, because of media commitments."
91,"The National Transportation Safety Board determines that the probable cause of this accident was the captain's decision to continue the approach contrary to COA standard operating procedures that mandate a go-around when an approach is unstabilized below 500 feet or a ground proximity warning system alert continues below 200 feet above field elevation. The following factors contributed to the accident: (1) the flightcrew's failure to properly complete the in-range checklist, which resulted in a lack of hydraulic pressure to lower the landing gear and deploy the flaps; (2) the flightcrew's failure to perform the landing checklist and confirm that the landing gear was extended; (3) the inadequate remedial actions by COA to ensure adherence to standard operating procedures; and (4) the Federal Aviation Administration's (FAA) inadequate oversight of COA to ensure adherence to standard operating procedures."
92,"The National Transportation Safety Board determines that the probable cause of this accident was the flightcrew’s improper procedures and actions (failing to contact system operations/dispatch, failing to use all available aircraft and company manuals, and prematurely resetting the ground control relay circuit breakers) in response to an in-flight abnormality, which resulted in the inadvertent in-flight activation of the ground spoilers during the final approach to landing and the airplane’s subsequent increased descent rate and excessively hard ground impact in the runway approach light area."
93,"The National Transportation Safety Board determines that the probable cause of this accident was the captain’s failure to reject the takeoff in a timely manner when excessive nosewheel steering tiller inputs resulted in a loss of directional control on a slippery runway. Inadequate Boeing 747 slippery runway operating procedures developed by Tower Air, Inc., and the Boeing Commercial Airplane Group and the inadequate fidelity of B-747 flight training simulators for slippery runway operations contributed to the cause of this accident. The captain’s reapplication of forward thrust before the airplane departed the left side of the runway contributed to the severity of the runway excursion and damage to the airplane."
94,"The National Transportation Safety Board determines that the probable cause of this accident was the in-flight fatigue fracture and separation of a propeller blade resulting in distortion of the left engine nacelle, causing excessive drag, loss of wing lift, and reduced directional control of the airplane. The fracture was caused by a fatigue crack from multiple corrosion pits that were not discovered by Hamilton Standard because of inadequate and ineffective corporate inspection and repair techniques, training, documentation, and communications."
95,"The National Transportation Safety Board determines that the probable cause of this accident was the flightcrew’s failure to maintain the required minimum descent altitude until the required visual references identifiable with the runway were in sight. Contributing factors were the failure of the BDL approach controller to furnish the flightcrew with a current altimeter setting, and the flightcrew’s failure to ask for a more current setting."
96,"The National Transportation Safety Board determines that the probable cause of this accident was the failure of Turk Hava Yollari maintenance and inspection personnel to perform a proper inspection of a 7th stage high compressor disk, thus allowing the detectable crack to grow to a length at which the disk ruptured, under normal operating conditions, propelling engine fragments into the fuselage; the fragments severed the right engine main fuel line, which resulted in a fire that rapidly engulfed the cabin area. The lack of an adequate recordkeeping system and the failure to use ""process sheets"" to document the step-by-step overhaul/inspection procedures contributed to the failure to detect the crack and, thus, to the accident."
97,"The National Transportation Safety Board determines that the probable causes of this accident were the loss of control, attributed to a sudden and unexpected aileron hinge moment reversal that occurred after a ridge of ice accreted beyond the deice boots because: 1) ATR failed to completely disclose to operators, and incorporate in the ATR 72 airplane flight manual, flightcrew operating manual and flightcrew training programs, adequate information concerning previously known effects of freezing precipitation on the stability and control characteristics, autopilot and related operational procedures when the ATR 72 was operated in such conditions; 2) the French Directorate General for Civil Aviation’s inadequate oversight of the ATR 42 and 72, and its failure to take the necessary corrective action to ensure continued airworthiness in icing conditions; and 3) the French Directorate General for Civil Aviation's failure to provide the Federal Aviation Administration with timely airworthiness information developed from previous ATR incidents and accidents in icing conditions, as specified under the Bilateral Airworthiness Agreement and Annex 8 of the International Civil Aviation Organization."
98,"The National Transportation Safety Board determines that the probable cause of this accident was: the Cessna 441 pilot's mistaken belief that his assigned departure runway was runway 30R, which resulted in his undetected entrance onto runway 30R, which was being used by the MD-82 for its departure. Contributing to the accident was the lack of Automatic Terminal Information Service and other air traffic control (ATC) information regarding the occasional use of runway 3 1 for departure. The installation and utilization of Airport Surface Detection Equipment (ASDE-3) and particularly ASDE-3 enhanced with the Airport Movement Area Safety System (AMASS), could have prevented this accident."
99,The National Transportation Safety Board determines that the probable causes of this accident were:
100,"The National Transportation Safety Board determines that the probable causes of this accident were: 1) improperly installed electrical wiring for special mission operations that led to an in-flight fii that caused airplane systems and structural damage and subsequent airplane control difficulties; 2) improper maintenance and inspection procedures followed by the operator; and, 3) inadequate oversight and approval of the maintenance and inspection practice by the operator in the installation of the special mission systems."
101,"The National Transportation Safety Board determines that the probable causes of the accident were: 1) the flightcrew’s decision to continue an approach into severe convective activity that was conducive to a microburst: 2) the flightcrew’s failure. to recognize a windshear situation in a timely manner, 3) the flightcrew’s failure to establish and maintain the proper airplane attitude and thrust setting necessary to escape the windshear; and 4) the lack of real-time adverse weather and windshear hazard information dissemination from air traffic control, all of which led to an encounter with and failure to escape from a microburst-induced windshear that was produced by a rapidly developing thunderstorm located at the approach end of runway 18R."
102,"The National Transportation Safety Board determines that the probable causes of the accident were the poor decisionmaking, poor airmanship, and relative inexperience of the captain in initiating and continuing an unstabilized instrument approach that led to a descent below the authorized altitude without visual contact with the runway environment. Contributing to the cause of the accident was the lack of a ground proximity warning system on the airplane."
103,"The National Transportation Safety Board determines that the probable causes of this accident were the failure of the flightcrew to comply with checklist procedures to turn on an operable pitot/static heat system, resulting in ice and/or snow blockage of the pitot tubes that produced erroneous airspeed indications, and the flightcrew's untimely response to anomalous airspeed indications with the consequent rejection of takeoff at au actual speed of 5 knots above VI."
104,"The National Transportation Safety Board determines that the probable
causes of this accident were the failure of the pilot-in-command to ensure that the airplane remained in visual meteorological conditions over mountainous terrain, and the failure of Federal Aviation Administration executives and managers responsible for the FAA flying program to: (1) establish effective and accountable leadership and oversight of flying operations; (2) establish minimum mission and operational performance standards; (3) recognize and address performance-related problems among the organization's pilots; and ( 4) remove from flight operations duty pilots who were not performing to standards."
105,The National Transportation Safety Board determines that the probable cause of this incident was the light control force characteristics of the MD-11 airplane in high altitude cruise flight. The upset was induced by a moderate lateral gust and was exacerbated by excessive control deflections.
106,"The National Transportation Safety Board determines that the probable cause of this accident was the sudden opening of the forward lower lobe cargo door in flight and the subsequent explosive decompression. The door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door locking mechanisms, which made them susceptible to deformation, allowing the door to become unlatched after being properly latched and locked. Also contributing to the accident was a lack of timely corrective actions by Boeing and the FAA following a 1987 cargo door-opening incident on Pan Am B-747."
107,The National Transportation Safety Board determines that the probable cause of this accident was the inadequate consideration given to human factors limitations in the inspection and quality control procedures used by United Airlines' engine overhaul facility which resulted in the failure to detect a fatigue crack originating from a previously undetected metallurgical defect located in a critical area of the stage 1 fan disk that was manufactured by General Electric Aircraft Engines. The subsequent catastrophic disintegration of the disk resulted in the liberation of debris in a pattern of distribution and with energy levels that exceeded the level of protection provided by design features of the hydraulic systems that operate the DC-10's flight controls.
108,"The National Transportation Safety Board determines that the probable cause of this accident was the failure of the Aloha Airlines maintenance program to detect the presence of significant disbonding and fatigue damage which ultimately led to failure of the lap joint a S-10L and the separation of the fuselage upper lobe. Contributing to the accident were the failure of Aloha Airlines management to supervise properly its maintenance force; the failure of the FAA to require Airworthiness Directive 87-21-08 inspection of all the lap joints proposed by Boeing Alert Service Bulletin SB 737-53A1039; and the lack of a complete terminating action (neither generated by Boeing nor required by the FAA) after the discovery of early production difficulties in the B-737 cold bond lap joint which resulted in low bond durability, corrosion, and premature fatigue cracking."
109,The National Transportation Safety Board determines that the probable cause of this accident was the captain's failure to have the airplane deiced a second time after a delay before takeoff that led to upper wing surface contamination and a loss of control during rapid takeoff rotation by the first officer. Contributing to the accident were the absence of regulatory or management controls governing operations by newly qualified flightcrew members and the confusion that existed between the flightcrew members and air traffic controllers that led to the delay in departure.
110,"The National Transportation Safety Board determines that the probable cause of the accident was the limitations of the air traffic control system to provide collision protection, through both traffic control procedures and automated redundancy. Factors contributing to the accident were (1) the inadvertent and unauthorized entry of the PA-28 into the Los Angeles Terminal Control Area and (2) the limitations of the ""see and avoid"" concept to ensure traffic separation under the conditions of the conflict."
111,"The National Transportation Safety Board determines that the probable causes of the accident were the flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain visible lightening; the lack of specific guidelines, procedures, and training for avoiding and escaping from low-altitude wind shear; and the lack of definitive, real-time wind shear hazard information. This resulted in the aircraft's encounter at low altitude with a microburst-induced, severe wind shear from a rapidly developing thunderstorm located on the final approach course."
112,"The National Transportation Safety Board determines that the probable causes of the accident were a fire of undetermined origin, an underestimate of fire severity, and misleading fire progress information provided to the captain."
113,"The National Transportation Safety Board determines that the probable cause of the accident was the omission of all the O-ring seals on the master chip detector assemblies leading to the loss of lubrication and damage to the airplane's three engines as a result of the failure of mechanics to follow the established and proper procedures for the installation of master chip detectors in the engine lubrication system, the repeated failure of supervisory personnel to require mechanics to comply strictly with the prescribed installation procedures, and the failure of Eastern Air Lines management to assess adequately the significance of similar previous occurrences and to act effectively to institute corrective action."
114,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's failure to use engine anti-ice during ground operation and takeoff, their decision to take off with snow/ice on the airfoil surfaces of the aircraft, and the captain's failure to reject the takeoff during the early stage when his attention was called to anomalous engine instrument readings. Contributing to the accident were the prolonged ground delay between deicing and the receipt of ATC takeoff clearance during which the airplane was exposed to continual precipitation, the known inherent pitchup characteristics of the B-737 aircraft when the leading edge is contaminated with even small amounts of snow or ice, and the limited experience of the flightcrew in jet transport winter operations."
115,"The National Transportation Safety Board determines that the probable cause of the accident was the pilot's failure to recognize the need for, and to take action to maintain, sufficient airspeed to prevent a stall into the ground during an attempted landing. The pilot also failed to recognize the need for timely and sufficient power application to prevent the stall during an approach conducted inadvertently without flaps extended. Contributing to the pilot's inability to recognize the problem and to take proper action was his failure to use the appropriate checklist and his nonstandard pattern procedures which resulted in an abnormal approach profile."
116,The Safety Board determines that the probable cause of this accident was fuel exhaustion resulting from inadequate flight preparation and erroneous in-flight decisions by the pilot-incommand.
117,The Board determines that the probable cause of this accident was the loss of effective elevator control due to the forward shift of improperly-secured cargo when the aircraft was placed in a steep nosedown attitude during a landing approach in reduced visibility conditions.
118,"The Board determines that the probable cause of this accident was the in flight failure of the lower, right, main wing-to-fuselage root joint attach fitting resulting from undetected cracks in the wing portion of the fitting. The Board also finds that the Federal Aviation Administration's requirement for the timely replacement of chromium plated root joint fittings was inadequate."
119,"The Board determines that the probable cause of this accident was was the intentional operation of the aircraft over a mountain valley route at an altitude from which the aircraft could neither climb over the obstructing terrain ahead, nor execute a successful course reversal. Significant factors were the overloaded condition of the aircraft, the virtual absence of flight planning for the chosen route of flight from Denver to Logan, a lack of understanding on the part of the crew of the performance capabilities and limitations of the aircraft, and the lack of operational management to monitor and appropriately control the actions of the flightcrew."
120,"The Board determines the probable cause of this accident to be illusions produced by the lack of visual cues during a circling approach over unlighted terrain at night to a runway not equipped with approach lights or other visual approach aids. These illusions , which made the pilot think that he was higher than his true position, were made more acceptable to him because of a strong possibility of an erroneously high indication on his altimeter."
121,The Board determines that the probable cause of this accident was improper monitoring of the flight instruments during a takeoff in instrument meteorological conditions. Additional pertinent factors were the use of improper procedures after takeoff and the reduced visibility due to fog.
122,"The Safety Board determines that the probable cause of this accident was the continuation of the descent, during actual instrument conditions, through the Minimal Descent Altitude and into ground obstructions as a result of inadequate flightcrew monitoring of the aircraft altimeters. A contributing factor was a lack of awareness by the nighterew of the actual meteorological conditions, caused by crew fatigue, and company workload priorities which prevented normal air-to-ground communications and deferred the dissemination of essential meteorological information."
123,The National Transportation Safety Board determines that the probable cause of this accident was spacial disorientation of the captain precipitated by atmospheric refraction of either the approach lights or landing lights at a critical point in the approach wherein the crew was transitioning between flying by reference to flight instruments and by visual reference to the ground.
124,The Board determines that the probable cause of this incident was the in-flight separation of the second-stage turbine disk rim of the No. 3 engine. The separation of the disk rim was the result of incorrect assembly of the high-pressure turbine module.
125,The Safety Board determines that the probable cause of this accident was a false ground spoiler position indication during the takeoff portion of a touch-and-go 1anding that induced the captain to discontinue the takeoff at a point too far down the runway to permit him to stop the aircraft on the runway.
126,The safety Board determines that the probable cause of this accident was the loss of effective engine pover because of improper fuel having been placed in the tanks by relatively untrained personnel. A contributing factor was that the flightcrew did not detect the error.
127,The Board determines that the probable cause of this accident was the loss of effective braking action caused by dynamic hydroplaning of the landing gear wheels on a wet/flooded runway. Contributing factors were a higher-than-normal touchdown speed and the location of the airport and its topography which permitted excess levels of water to accumulate on the runway.
128,"The Board determines that the probable cause of this incident was the premature touchdown of the aircraft during a visual approach to a relatively short runway, induced by the pilot's not establishing a glidepath which would assure runway threshold passage with an adequate safety under somewhat unusual environmental and psychological conditions."
129,"The Board detelmines that the probable cause of this accident was the continued descent below the prescribed approach path profile, for reasons unknown."
130,"The Safety Board determines that the probable cause of this accident was a stall near the upper limits of ground effect, with subsequent loss of control as a result of the aerodynamic and weight penalties of airfoil icing. The flightcrew failed to have the airfoil ice removed prior to the attempted takeoff from Sioux City. The Board also finds that the crew selected an improper takeoff thrust for the existing gross weight condition of the aircraft."
131,"The Board determines that the probable cause of this accident was that, following a malfunction or failure in the 115-volt alternating current electrical system, the crew did not take proper action, resulting in the loss of the pilot's flight instruments in instrument flight conditions and subsequent loss of control."
132,"The Board determines that the probable cause of this accident was an unwanted change in l atudinal trim which resulted in a nosedown high-speed flight condition that was beyond the physical capability of the pilots to overcome. The initiating element in the accident sequence could not be specifically determined. However, the design of the aircraft flight control system was conducive to malfunctions which, if undetected by the crew, could lead to a loss of control."
133,The Safety Board determines that the probable cause of this accident was the confused action on the part of the crew while attempting to cope with the catastrophic failure of an engine during takeoff.
134,The Board detemines that the probable cause of this accident was an in-flight structural failure caused by an encounter with severe-to-extreme turbulence. This turbulence was not forecast and its presence was not known to the flightcrew. The failure occurred in an area of the right wing (WS 197) which had been weakened to an indeterminate degree by pre-existing fatigue cracks.
135,The Board determines the probable cause of this accident to be the deficiencies in the collision avoidance capability of the Air Traffic Control (ATC) system of the Federal Aviation Administration in a terminal area wherein there was mixed Instrument Flight Rules (IFR) and Visual Flight Rules (VFR) traffic. The deficiencies included the inadequacy of the see-and-avoid concept under the circumstances of this case; the technical limitations of radar in detecting all aircraft; and the absence of Federal Aviation Regulations which would provide a system or adequate separation of mixed VFR and IFR traffic in terminal areas.
136,"The Board deternimes that the probable cause of this accident was the ;ack of crew coordination and the inadequate monitoring of the aircraft position in space during a critical phase of an instrument approach which resulted in an unplanned descent into the water. Contributing to this unplanned descent was an apparent unsafe landing gear condition induced by the design of the landing gear indicator lights, and the omission of the minimum crossing altitude at an approach fix depicted on the approach chart."
137,"The Board determines that the probable cause of this accident was that the captain, while conducting an approach, exceeded his clearance limits and, thereafter, flew the aircraft into a severe ""lee of the mountain downdraft"" at an altitude insufficient for recovery. No evidence was found to explain vhy this particular approach was attempted."
138,The Board determines that the probable cause of this accident was the radar vectoring of the aircraft below terrain clearance level following target misidentification by the FAA controller.
139,The Safety Board detemines that the probable cause of this accident was the delayed corrective action during a simulated critical-engine-out takeoff maneuver resulting in an excessive sideslip from which full recovery could not be effected.
140,"The Safety Board is unable to determine precisely the probable cause of this accident. Of some 13 potential causes examined by the Board, three remain after final analysis. They are: (1) misreading of the altimeter by the captain, (2) a malfunction of the captain's altimeter after completion of the instrument approach procedure turn, and (3) a misreading of the instrument approach chart. Of these three, however, no single one can be accepted or rejected to the exclusion of another based on the available evidence."
141,"The Board determines that the probable cause of this accident was the vectoring of the aircraft into mountainous terrain, under IFR conditions, without adequate obstruction clearance altitude by a controller who, for reasons beyond his control, was performing beyond the safe limits of his perfonnance capability and without adequate supervision."
142,"The Board determines that the probable cause of this accident ws the premature initiation of a descent; towards the Minimum Descent Altitude, based on navigational instrument indications of an impending station passage in an area of course roughness. The crew was not able to determine accurately its position at this time because they had performed a nonstandard instrument approach and there were no supplemental navigational aids available for their use."
143,"The Board determines that the probable cause of this accident was a loss of directional control, which resulted from the intentional shutdown ot the pumps supplying hydraulic pressure to the hydraulic the rudder without a concurrent restoration of power on the No. 4 engine. A contributing factor was the inadequacy of fluid loss emergency procedure when applied against the operating configuration of the aircraft."
144,"The Board determines that the probable cause of this accident was the deviation from the prescribed route of flight, as authorized in the company's FAA-approved operations specifications, resulting in the aircraft being operated under IFR weather conditions, in high mountainous terrain, in an area where there was a lack of radio navigation aids."
145,"The Board determines that the probable Cause of this accident was loss of attitude orientation during a night, instrument departure in which the attitude instruments were disabled by loss of electrical power. The Board has been unable to determine (a) why all generator power was lost or (b) why the standby electrica1 power system either was not activated or failed to function."
146,The Board determines that the probable cause of this accident was the continuation of the descent from the final approach fix through the Minimum Descent Altitude and into obstructing terrain at a time when both flight crewmembers were looking outside the aircraft in an attempt to establish visual reference to the ground. Contributing factors were the minimal visual references available at night on the approaches to the Bradford Regional Airport; a small but critical navigational error during the later stages of the approach; and a rapid change in visibility conditions that was not known to the crew.
147,"The Safety Board determines the probable cause of this accident to be the controlled descent of the aircraft into known below minima weather conditions and the failure of the crew to discontinue the landing attempt upon reaching the decision height. Contributing to the cause are existing regulations which permit an approach to be initiated in conditions well below minima, lack of clarity in the regulations in describing missed-approach procedures while following visual cues to the runway, misinterpretation by the crew of the information received from the approach controller (in this case, the legality of landing in low visibility conditions), improper crew action at the time of initial runway contact, and poor crew judgment partially induced by fatigue, and the lack of management required for such an operation."
148,"The Safety Board determines that the probable cause of this accident was the loss of main rotor blade damper integrity due to either a failure of the black blade damper or a loss of effective damping action by the white blade damper. This resulted in uncontrolled excursions of the main rotor blades in their lead/lag axis, an overload detachment of the yellow main rotor blade pitch change control rod and destruction of the structural integrity of the aircraft by blade strikes. The precise reason for either of the possibilities for the loss of damper integrity is undetermined."
149,The Board determines that the probable cause of this accident was an attempted takeoff with the flaps in a retracted position. This resulted from a combination of factors: (a) inadequate cockpit checklist and procedures; (b) a warning system inadequacy associated with cold weather operations; (c) ineffective control practices regarding manufacturer's Service Bulletins; and (d) stresses imposed upon the crew by their attempts to meet an air traffic control deadline.
150,"The Board determines that the probable cause of this accident was an attempt by the crew to conduct a nlght, visual, no-glide-slope approach during deteriorating weather conditions without adequate altimeter crossreference. The approach was conducted using visual reference to partially lighted irregular terrain which may have been conducive to producing an illusionary sense of adequate terrain clearance."
151,"The Safety Board determines that the probable cause of this accident was the fatigue failure of the yellow main rotor blade spindle, causing separation of the blade which made the aircraft uncontrollable. The fatigue crack originated in an area of substandard hardness and inadequate shot peening."
152,"The Safety Board determines that the probable cause of this accident was an unrecognized loss of altitude orientation during the final portion of an approach into shallow, dense fog. The disorientation was caused by a rapid reduction in the ground guidance segment available to the Pilot, at a point beyond which a go-around could not be successfully effected."
153,"The Board determines that the probable cause of this accident was the inability of the Convair 580 flightcrew to detect the Cessna 150 visually in sufficient time to take evasive action, despite having been provided with three radar traffic advisories concerning the latter aircraft. Visual detection capabilities were substantially reduced by the heavy accumulation of insect smears on the forward windshield and direct vision windows of the Convair. Visibility was further reduced by haze, smoke and sun glare, and by the inconspicuous color and lack of relative motion of the Cessna. Under these circumstances, the crew of the Convair should have requested a radar avoidance vector."
154,The Board determines that the probable cause of this accident was the stressing of the aircraft structure beyond its ultimate strength during an attempted recovery from an unusual attitude induced by turbulence associated with a thunderstorm. The operation in the turbulence resulted from a decision to penetrate an area of known severe weather.
155,"The Board determines that the probable cause of this accident was the improper application of the prescribed procedures to execute an automatic-coupled ILS approach. This deviation from the prescribed procedures was, in part, due to a lack of familiarization and infrequent operation of the installed flight director and autopilot system."
