,Altitude,Distance,Narrative,Report,Summary
295,4000,0,MANCHESTER CLRED ME FOR THE VISUAL APCH AT 5 MI W AND 5000 FT. I WAS UNABLE TO COMPLY AND INFORMED THEM. THEY GAVE ME A HDG OF 330 DEGS AND DSCNT TO 2000 FT. WHEN I WAS ABEAM THE OM; THEY TURNED ME IN; AND ALLOWED ME TO SWITCH FREQ. I WAITED UNTIL FREQ WAS CLR AND ANNOUNCED MY POS TO NASHUA TWR WHO WAS SURPRISED AT MY APPEARANCE THERE. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE RPTR FLIES A MOONEY M-20J; COMMUTING FROM NH TO NJ. 'MHT HAS A FEW PROBS;' SAID THE RPTR. MHT APCH SERVES ASH CLASS 'D' AIRSPACE; BUT NOT VERY WELL. IFR ACFT ARE OFTEN BROUGHT TOWARDS ASH AT 5000 FT; TOO CLOSE FOR A REASONABLE APCH. THE RPTR DID NOT SEE A BARON THAT WAS ON THE ILS TO ASH. THE BARON HAD TO TAKE EVASIVE ACTION WHEN THE RPTR PLUMMETED OUT OF THE CLOUDS. WHEN THE RPTR CALLED ASH ATCT OVER THE OM; ASH SAID 'WHAT THE HELL ARE YOU DOING THERE!' MHT HAD NOT FORWARDED THE RPTR'S PROGRESS TO ASH. THE RPTR WENT TO THE ASH TWR TO APOLOGIZE. FROM THE ATCT; HE CALLED MHT. MHT ACKNOWLEDGED THAT THERE HAD BEEN A PROB AND THAT TRAINING WAS IN PROGRESS AT MHT. THE RPTR HEARD THAT HE AND THE BARON HAD MISSED BY ONLY 200 FT. THE RPTR STATES THAT HE HAS SENT 'SEVERAL OTHER RPTS' TO THE ASRS ON THE ATC SYS AT ASH; HIS HOME PORT. HE IS NOW AWARE OF THE FAA AVIATION SAFETY HOTLINE.,nmac appar caus BY mht tracon . manchest clred ME visual apch AT 5 MI W 5000 FT . I wa unabl TO compli inform them . they gave ME A hdg OF 330 deg dscnt TO 2000 FT . when I wa abeam OM ; they turn ME IN ; allow ME TO switch freq . I wait until freq wa clr announc MY po TO nashua twr who wa surpris AT MY appear there . callback convers rptr reveal info : rptr fli A mooney m-20j ; commut NH TO NJ . 'mht ha A few prob ; ' said rptr . mht apch serv ash class 'D ' airspac ; but not veri well . ifr acft are often brought toward ash AT 5000 FT ; too close A reason apch . rptr did not see A baron that wa ON il TO ash . baron TO take evas action when rptr plummet out OF cloud . when rptr call ash atct over OM ; ash said 'what hell are you do there ! ' mht not forward rptr 'S progress TO ash . rptr went TO ash twr TO apolog . atct ; HE call mht . mht acknowledg that there been A prob that train wa IN progress AT mht . rptr heard that HE baron miss BY onli 200 FT . rptr state that HE ha sent 'sever other rpt ' TO asr ON atc sy AT ash ; hi home port . HE IS now awar OF faa aviat safeti hotlin . ,NMAC APPARENTLY CAUSED BY MHT TRACON.
296,1800,9,I WAS RETURNING S DOWN THE FARMINGTON RIVER VALLEY AT 1800 FT (BELOW BDL CLASS 'C' AIRSPACE); 8.5 MI W OF BDL; BY DME; GPS. I WATCHED A CESSNA 310 APCH MY PORT-REAR QUARTER. THEY CAME FROM BDL CTLED SPACE AT 90 DEGS; THEN FLEW ADJACENT IN FORMATION; GETTING CLOSER AND CLOSER OBVIOUSLY LOOKING ME OVER. FINALLY; I DOVE DOWN TO AVOID A COLLISION. I FELT BDL VECTORED THIS PLANE TO ME AS IT APCHED FROM THEIR AREA; THEN RETURNED. ADDITIONALLY; WHEN I LANDED AT HARTFORD; THE TWR OPERATOR INFORMED ME THAT BRADLEY HAS TRACKED ME FROM NW AND I WAS FLYING 'ERRATICALLY.' SINCE I HAD A TV CAMERA MAN AS A WITNESS; I VOLUNTARILY CALLED BDL TWR AND EXPLAINED THAT I FLEW STRAIGHT UP THE FARMINGTON VALLEY; MADE 1 CIRCLE 18 MI NW OF BDL; THEN STRAIGHT S BACK TO HFD. THE NEAREST I WAS TO BDL WAS 8.5 MI BUT WAS BELOW THEIR AIRSPACE. WHEN THEY HEARD I HAD A WITNESS THEY DENIED ANY KNOWLEDGE OF PROB! THE NEXT DAY I HAD MY ALT ENCODING SYS RECERTIFIED. IT NOT ONLY PASSED REQUIREMENTS; BUT THE AVIONICS SHOP STATED IT WAS FINE BEFORE RECERTIFICATION. I FEEL; BECAUSE I WAS NEAR BUT BELOW BDL AIRSPACE; THEY REQUESTED THE CESSNA 310 TO CHK ME OUT. BECAUSE MY ACFT HAS SMALL NUMBERS THE OVERZEALOUS 310 PLT FLEW TOO CLOSE TO ME. WHEN CONFRONTED; BDL DENIED ANY PROB WHEN I TOLD THEM I HAD A VIABLE WITNESS.,plt OF AN sma sel complain that anoth acft came UP alongsid too close IN observ hi acft ident N number . I wa return S down farmington river valley AT 1800 FT ( below bdl class 'C ' airspac ) ; 8.5 MI W OF bdl ; BY dme ; gp . I watch A cessna 310 apch MY port-rear quarter . they came bdl ctled space AT 90 deg ; then flew adjac IN format ; get closer closer obvious look ME over . final ; I dove down TO avoid A collis . I felt bdl vector thi plane TO ME AS IT apch their area ; then return . addit ; when I land AT hartford ; twr oper inform ME that bradley ha track ME NW I wa fli 'errat . ' sinc I A TV camera man AS A wit ; I voluntarili call bdl twr explain that I flew straight UP farmington valley ; made 1 circl 18 MI NW OF bdl ; then straight S back TO hfd . nearest I wa TO bdl wa 8.5 MI but wa below their airspac . when they heard I A wit they deni ani knowledg OF prob ! next day I MY alt encod sy recertifi . IT not onli pass requir ; but avion shop state IT wa fine befor recertif . I feel ; becaus I wa near but below bdl airspac ; they request cessna 310 TO chk ME out . becaus MY acft ha small number overzeal 310 plt flew too close TO ME . when confront ; bdl deni ani prob when I told them I A viabl wit . ,PLT OF AN SMA SEL COMPLAINED THAT ANOTHER ACFT CAME UP ALONGSIDE TOO CLOSE IN OBSERVING HIS ACFT IDENT N NUMBER.
297,16000,10,CLBING OUT OF ABOUT 11000 FT. I WENT OFF RADIO TO TALK TO BDL STATION AT THEIR REQUEST. AFTER I WENT OFF FREQ; ATC GAVE US A SHORT CUT DIRECT ALBANY VOR. ALSO ABOUT THAT TIME THEY ISSUED VFR TFC AT 17500 FT. RIGHT AFTER THIS; FLT ATTENDANT CAME UP WITH CREW MEAL. A LOT GOING ON AT ONE TIME SO COPLT DID NOT RECOGNIZE THAT VFR TFC COULD POSSIBLY BE A CONFLICT. WHEN I CAME BACK ON RADIO FREQ WE RECEIVED A TA. WE WERE CLBING OUT OF ABOUT 16000 FT. TFC WAS AT EDGE OF TCASII SCOPE AND DID NOT SHOW ALT. SOON AFTER WE COULD SEE TFC ON OUR SCOPE AT ABOUT 17500 FT. WE IMMEDIATELY RECEIVED AN RA TO DSND. WE COMPLIED AND STOPPED OUR CLB AND BEGAN A DSCNT AT ABOUT 17700 FT. BECAUSE OF OUR DSCNT THERE WAS NO CONFLICT; AND THE VERT SEPARATION WAS AT LEAST 1500 FT. WE NEVER SPOTTED THE TFC VISUALLY. THE ONLY RECOMMENDATION I WOULD MAKE TO PREVENT THIS TYPE OF OCCURRENCE FROM HAPPENING AGAIN WOULD BE TO HAVE ATC; WHEN THEY ISSUE TFC THAT THEY THINK COULD BE A CONFLICT; TO TRY TO MAKE SURE THE CREW REALIZES THIS.,flc OF AN mlg stop clbing dsnded IN respons TO A tcasii RA . clbing out OF about 11000 FT . I went off radio TO talk TO bdl station AT their request . after I went off freq ; atc gave US A short cut direct albani vor . also about that time they issu vfr tfc AT 17500 FT . right after thi ; flt attend came UP crew meal . A lot go ON AT one time SO coplt did not recogn that vfr tfc could possibl BE A conflict . when I came back ON radio freq WE receiv A TA . WE clbing out OF about 16000 ft. tfc wa AT edg OF tcasii scope did not show alt . soon after WE could see tfc ON scope AT about 17500 ft. WE immedi receiv AN RA TO dsnd . WE compli stop clb began A dscnt AT about 17700 ft. becaus OF dscnt there wa NO conflict ; vert separ wa AT least 1500 ft. WE never spot tfc visual . onli recommend I would make TO prevent thi type OF occurr happen again would BE TO have atc ; when they issu tfc that they think could BE A conflict ; TO tri TO make sure crew realiz thi . ,FLC OF AN MLG STOPPED CLBING AND DSNDED IN RESPONSE TO A TCASII RA.
298,1500,5,OUR ACFT AND A PIPER AEROSTAR WERE ON VISUAL APCHS TO MVY. BOTH ACFT WERE ROUGHLY AN EQUAL DISTANCE FROM THE RWY. THE CAPT OF THIS ACFT DECIDED TO ASK TO BE #1 FOR THE APCH; GIVEN OUR HIGHER AIRSPD; AND THE TWR AGREED; INSTRUCTING THE AEROSTAR TO FOLLOW US IN. THE PLT OF THE AEROSTAR OBJECTED; CLAIMING TO BE MUCH CLOSER; BUT THE TWR REPEATED INSTRUCTIONS TO FOLLOW US IN. AS WE WERE PREPARING TO TURN FINAL; THE AEROSTAR HAD NOT MANEUVERED TO FOLLOW US; AND AS A RESULT WE MADE A L 270 DEG AND FOLLOWED THE AEROSTAR TO LAND. THE AEROSTAR WAS IN SIGHT AT ALL TIMES AND A COLLISION WAS NEVER A POSSIBILITY.,capt OF ltt commut acft made A 270 deg turn IN order TO provid space anoth acft ON final . acft A piper aerostar ON visual apch TO mvi . both acft roughli AN equal distanc rwi . capt OF thi acft decid TO ask TO BE # 1 apch ; given higher airspd ; twr agre ; instruct aerostar TO US IN . plt OF aerostar object ; claim TO BE much closer ; but twr repeat instruct TO US IN . AS WE prepar TO turn final ; aerostar not maneuv TO US ; AS A result WE made A L 270 deg aerostar TO land . aerostar wa IN sight AT all time A collis wa never A possibl . ,CAPT OF LTT COMMUTER ACFT MADE A 270 DEG TURN IN ORDER TO PROVIDE SPACING WITH ANOTHER ACFT ON FINAL.
299,7000,20,WHILE ESTABLISHED ON THE LOC FOR RWY 4R IN BOSTON WE WERE TOLD TO STOP DSCNT AND LEVEL AT 7000 FT FOR A VFR ACFT UNDER IFR CTL TO CROSS BELOW US. CTLR CALLED OUT THE TFC WHICH WE HAD VISUALLY AND WERE TOLD HE HAD US VISUALLY. TCASII STILL GAVE A RA. WE ENDED UP BEING SEVERAL HUNDRED FT HIGH ON THE ILS. THIS VFR ACFT SHOULD HAVE BEEN VECTORED SEVERAL MI S OF THE BOSTON ARR CORRIDOR AND THE TCA.,nmac btwn A mlg ON long final vfr tfc xing 500 FT below . establish ON loc rwi 4R IN boston WE told TO stop dscnt level AT 7000 FT A vfr acft under ifr ctl TO cross below US . ctlr call out tfc which WE visual told HE US visual . tcasii still gave A RA . WE end UP be sever hundr FT high ON il . thi vfr acft should have been vector sever MI S OF boston arr corridor tca . ,NMAC BTWN A MLG ON LONG FINAL AND VFR TFC XING 500 FT BELOW.
300,2400,20,THE CAPT WAS FLYING THIS LEG ON AN IFR FLT FROM EWR TO BED. EVERYTHING WAS NORMAL UNTIL THE ACFT DEPARTED DREEM INTXN. WE WERE INSTRUCTED TO DSND TO 3000 FT. AFTER LEVELING AT 3000 FT; AN ACFT WAS OBSERVED AT OUR ALT AND 12 O'CLOCK CLOSING FAST. A DSCNT WAS INITIATED WITH A SLIGHT R TURN. THE ACFT; A PIPER TOMAHAWK; PASSED APPROX 300 FT ABOVE AND TO OUR L. APCH WAS ADVISED OF OUR DSCNT AND THE REASON. APCH ACKNOWLEDGED AND INSTRUCTED US TO CLB BACK TO 3000 FT WHEN WE WERE CLR. THE DSCNT WAS STOPPED AT 2400 FT AND WE CLBED BACK TO 3000 FT. THE OTHER ACFT WAS SPOTTED IN SUFFICIENT TIME TO MAKE A DSCNT THAT DID NOT ALARM THE PAX IN BACK. THIS SHOULD BE A LESSON TO ALL OF US THAT; EVEN THOUGH WE ARE ON AN IFR FLT PLAN IN POSITIVE RADAR CTL; WE STILL NEED TO LOOK OUTSIDE FOR THAT ONE UNRPTED ACFT THAT COULD BE IN CONFLICT WITH US.,capt OF cpr jet took evas action BY dsnding after observ AN acft AT same alt come straight AT them . capt wa fli thi leg ON AN ifr flt ewr TO bed . everyth wa normal until acft depart dreem intxn . WE instruct TO dsnd TO 3000 ft. after level AT 3000 FT ; AN acft wa observ AT alt 12 o'clock close fast . A dscnt wa initi A slight R turn . acft ; A piper tomahawk ; pass approx 300 FT abov TO L. apch wa advis OF dscnt reason . apch acknowledg instruct US TO clb back TO 3000 FT when WE clr . dscnt wa stop AT 2400 FT WE clbed back TO 3000 FT . other acft wa spot IN suffici time TO make A dscnt that did not alarm pax IN back . thi should BE A lesson TO all OF US that ; even though WE are ON AN ifr flt plan IN posit radar ctl ; WE still need TO look outsid that one unrpt acft that could BE IN conflict US . ,CAPT OF CPR JET TOOK EVASIVE ACTION BY DSNDING AFTER OBSERVING AN ACFT AT THE SAME ALT COMING STRAIGHT AT THEM.
301,4000,5,DEPARTING BOSTON LEVEL AT 4000 FT HDG 300 DEGS. RECEIVED CLRNC TO CLB TO 6000 FT AND TURN R TO 090 DEGS. AT SAME TIME TCASII RPTED TFC AT 11 O'CLOCK; 3 MI DSNDING THROUGH 4500 FT. ABOUT 3 SECONDS LATER TCASII ISSUED A 'DSCNT.' WE KEPT OUR TURN TOWARD 090 DEGS AND BEGAN A DSCNT. ABOUT 3 SECONDS LATER WE SAW THE TFC AT ABOUT 9 O'CLOCK AT SAME ALT STILL IN A DSCNT; AT SAME TIME WE WERE ISSUED 'INCREASE DSCNT;' AND ABOUT 3-5 SECONDS AFTER THAT WE WERE ISSUED 'CLB; CLB NOW.' 1) ATC DID NOT ISSUE A CLRNC AWAY FROM TFC UNTIL TFC WAS ABOUT 11 O'CLOCK 3 MI AND 500 FT ABOVE OUR ALT. 2) ATC DID NOT ISSUE A TA AT ANY TIME. 3) ATC DID NOT ACKNOWLEDGE ANY TFC CONFLICT EXCEPT 'CLR OF TFC' AFTER WE ADVISED THAT WE WERE RESPONDING TO AN 'RA.',acr sf34 ON vector given clb BY dep ctlr . sf34 given A clb turn BY dep ctlr ; AT same time saw AN acft dsnding AT hi 11 o'clock po . sf34 got tcasii TO dsnd did that rather clb AS clred . then tcasii told him TO 'clb ; clb now . ' AS A result ltss occur . depart boston level AT 4000 FT hdg 300 deg . receiv clrnc TO clb TO 6000 FT turn R TO 090 deg . AT same time tcasii rpted tfc AT 11 o'clock ; 3 MI dsnding through 4500 ft. about 3 second later tcasii issu A 'dscnt . ' WE kept turn toward 090 deg began A dscnt . about 3 second later WE saw tfc AT about 9 o'clock AT same alt still IN A dscnt ; AT same time WE issu 'increas dscnt ; ' about 3-5 second after that WE issu 'clb ; clb now . ' 1 ) atc did not issu A clrnc away tfc until tfc wa about 11 o'clock 3 MI 500 FT abov alt . 2 ) atc did not issu A TA AT ani time . 3 ) atc did not acknowledg ani tfc conflict except 'clr OF tfc ' after WE advis that WE respond TO AN 'ra . ' ,ACR SF34 ON VECTOR AND GIVEN CLB BY DEP CTLR. SF34 GIVEN A CLB AND TURN BY DEP CTLR; AND AT THE SAME TIME SAW AN ACFT DSNDING AT HIS 11 O'CLOCK POS. SF34 GOT TCASII TO DSND AND DID THAT RATHER THAN CLB AS CLRED. THEN THE TCASII TOLD HIM TO 'CLB; CLB NOW.' AS A RESULT LTSS OCCURRED.
302,4000,8,I WAS ON A TRAINING MISSION TO BECOME A FLT INSTRUCTOR WITH MY CURRENT INSTRUCTOR UNDER THE HOOD. WE WERE DOING ATTITUDE INST FLT PROCS AS I WAS WATCHING FOR TFC. IN THE MANEUVER IN QUESTION; WE HAD DONE SEVERAL CLRING TURNS PRIOR AND I HAD NOTICED NOTHING UNUSUAL. I LOOKED OVER MY INSTRUCTOR'S SHOULDER FOR TFC AND SAW NOTHING SO WE STARTED A 20 DEG BANKED; CLBING TURN TO THE L (360 DEGS). AS WE REACHED THE 180 DEG POINT; THE SUN WAS STRAIGHT OFF THE NOSE AND I COULDN'T SEE OUTSIDE; BUT STRAINED TO SEE IF ANY TFC WAS OUT THERE; AT THE SAME TIME TRYING TO CORRECT THE SIMULATED ERRORS THAT MY INSTRUCTOR WAS GIVING ME. WE WERE PASSING THROUGH 4000 FT NOW AND JUST BEFORE WE LEVELED OFF; I SAW THE ATR-42 PASS ABOVE THE ACFT AT NO LESS THAN 400 FT VERTICALLY. I ALERTED MY FLT INSTRUCTOR AND SHAKEN; I DECIDED TO END THE LESSON AND RETURN TO THE ARPT. LATER I REALIZED THAT THE ATR'S FLT PATH WAS COMING FROM THE SAME DIRECTION THAT THE SUN WAS COMING FROM AT THE 180 DEG POINT OF OUR TURN; AND THAT; UNFORTUNATELY; IT WAS IMPOSSIBLE FOR ME TO SEE THE ACFT AGAINST THE SUN. ATC CONTROLLING ACFT GOING THROUGH AND INTO THE CLASS C TERMINAL AREA (AIRPORT 20 NM N OF OUR FIELD) TEND TO BRING THOSE ACFT IN LOW OVER OUR PRACTICE AREA (OUTSIDE THEIR AIRSPACE) MAKING FOR A POTENTIALLY FATAL SIT WHICH I SHOULD HAVE BEEN; AND WILL BE SUFFICIENTLY MORE AWARE OF IN FUTURE TRAINING FLTS.,sma perform train maneuv ha nmac atr42 . I wa ON A train mission TO becom A flt instructor MY current instructor under hood . WE do attitud inst flt proc AS I wa watch tfc . IN maneuv IN question ; WE done sever clring turn prior I notic noth unusu . I look over MY instructor 'S shoulder tfc saw noth SO WE start A 20 deg bank ; clbing turn TO L ( 360 deg ) . AS WE reach 180 deg point ; sun wa straight off nose I could n't see outsid ; but strain TO see IF ani tfc wa out there ; AT same time tri TO correct simul error that MY instructor wa give ME . WE pass through 4000 FT now just befor WE level off ; I saw atr-42 pass abov acft AT NO 400 FT vertic . I alert MY flt instructor shaken ; I decid TO end lesson return TO arpt . later I realiz that atr 'S flt path wa come same direct that sun wa come AT 180 deg point OF turn ; that ; unfortun ; IT wa imposs ME TO see acft against sun . atc control acft go through into class C termin area ( airport 20 NM N OF field ) tend TO bring those acft IN low over practic area ( outsid their airspac ) make A potenti fatal sit which I should have been ; will BE suffici more awar OF IN futur train flt . ,SMA PERFORMING TRAINING MANEUVERS HAS NMAC WITH ATR42.
303,2200,2,TAKING OFF AFTER A SMALL ACFT (CESSNA; TYPE UNKNOWN; VFR) WE WERE TOLD TO TURN L ON COURSE; HEADING 370 DEGS TO INTERCEPT. WE WERE ALSO TOLD TO REMAIN CLR OF THE SMALL ACFT WHICH WE HAD RPTED IN SIGHT. I STOPPED MY TURN FROM THE RWY HEADING OF 330 DEGS TO 270 DEGS AT ABOUT 290 DEGS BECAUSE I WANTED TO REMAIN R OF THE OTHER ACFT. AS WE CONTINUED CLBING; THE OTHER ACFT TURNED R; OR DRIFTED R; UNDER OUR FLT PATH. WE FLEW OVERHEAD THE SMALL ACFT BY 100-300 FT; ACCORDING TO THE CAPT; AND SO. NO COMMENT OR COMPLAINT WAS MADE BY THE OTHER ACFT OR THE TWR; WHO I FELT WAS TOO QUICK TO RELEASE US ON COURSE; AT NIGHT ON AN IFR FLT PATH BUT WITH A 'SEE AND AVOID' CLRNC ON CLBOUT.,nmac btwn AN lgt clbing out AN sma sel ON clb out ahead . take off after A small acft ( cessna ; type unknown ; vfr ) WE told TO turn L ON cours ; head 370 deg TO intercept . WE also told TO remain clr OF small acft which WE rpted IN sight . I stop MY turn rwi head OF 330 deg TO 270 deg AT about 290 deg becaus I want TO remain R OF other acft . AS WE continu clbing ; other acft turn R ; OR drift R ; under flt path . WE flew overhead small acft BY 100-300 FT ; accord TO capt ; SO . NO comment OR complaint wa made BY other acft OR twr ; who I felt wa too quick TO releas US ON cours ; AT night ON AN ifr flt path but A 'see avoid ' clrnc ON clbout . ,NMAC BTWN AN LGT CLBING OUT AND AN SMA SEL ON CLB OUT AHEAD.
304,4500,5,CLBOUT FROM PVD (PROVIDENCE; RI) ARPT; WBOUND TO PUT. AT 4000 FT; CLBING 3000 FPM; GOT A TCASII ADVISORY SHOWING AN ACFT 1500 FT ABOVE US AND 2 1/2 MI IN FRONT OF US APCHING. BEGAN A PWR REDUCTION. AT 4500 FT GOT A TCASII RESOLUTION AND I IMMEDIATELY LEVELED OFF AT 4500 FT. RESOLUTION SHOWED ACFT APCHING 1000 FT ABOVE US; LESS THAN 2 MI. GOT A VISUAL CONTACT WITH ACFT. HE WENT ALMOST RIGHT OVER US AT 5500 FT MSL. WE WERE LEVEL AT 4500 FT MSL. ASKED PVD DEP CTL 3 TIMES IF THEY HAD TFC IN OUR AREA AND THEY SAID NO TARGETS. I BELIEVE TCASII SAVED US FROM A VERY CLOSE CALL! ATC NEVER HAD THE OTHER ACFT; THOUGH HE MUST HAVE HAD HIS XPONDER ON OR WE WOULD NOT HAVE HAD A TCASII RESOLUTION.,flc OF AN mlg stop their clb level off IN respons TO A tcasii RA A subsequ visual sight OF other acft . clbout pvd ( provid ; RI ) arpt ; wbound TO put . AT 4000 FT ; clbing 3000 fpm ; got A tcasii advisori show AN acft 1500 FT abov US 2 1/2 MI IN front OF US apch . began A pwr reduct . AT 4500 FT got A tcasii resolut I immedi level off AT 4500 FT . resolut show acft apch 1000 FT abov US ; 2 MI . got A visual contact acft . HE went almost right over US AT 5500 FT msl . WE level AT 4500 FT msl . ask pvd dep ctl 3 time IF they tfc IN area they said NO target . I believ tcasii save US A veri close call ! atc never other acft ; though HE must have hi xponder ON OR WE would not have A tcasii resolut . ,FLC OF AN MLG STOPPED THEIR CLB AND LEVELED OFF IN RESPONSE TO A TCASII RA AND A SUBSEQUENT VISUAL SIGHTING OF THE OTHER ACFT.
305,11000,3,AT CRUISE 11000 FT APPROX 3 NM SW OF ORW VOR; ZBW RPTED TFC; A BE1900D; 12 O'CLOCK; 7 MI; SWBOUND. TCASII GAVE TA. TFC ACQUIRED VISUALLY. TCASII THEN WENT TO RA MODE. TFC LEVEL AT 10500 FT. NO EVASIVE ACTION TAKEN. CTR THEN ADVISED OF A SECOND TARGET 5 MI IN TRAIL OF THE BE1900. AT 10000 FT SECOND TCASII TA; TCASII WENT TO RA MODE WITH CLB COMMAND. TCASII SHOWED SECOND TARGET CLBING THROUGH 10500 FT. PF DID NOT RESPOND TO INITIAL CLB COMMAND WITH SECOND CLB COMMAND. I DISENGAGED THE AUTOPLT AND INITIATED A CLB. THE PF THEN RESUMED CTL OF THE ACFT. WHEN THE TCASII INITIATED THE RA ZBW GAVE US A FREQ CHANGE TO PVD APCH. WE ADVISED ZBW WE WERE RESPONDING TO AN RA AND SWITCHED TO PVD APCH. WE CHKED IN WITH PVD DSNDING TO OUR ASSIGNED ALT OF 11000 FT (OUT OF 11500 FT) AFTER RESPONDING TO AN RA. REMAINDER OF FLT WITHOUT INCIDENT. I FEEL THE MAIN FACTORS WERE THE 2 TARGETS IN CLOSE PROX TO ONE ANOTHER. THE FREQ CHANGE AND THE FAILURE OF THE PF TO INITIALLY RESPOND TO THE TCASII RA. AFTER WE HAD RETURNED TO OUR ASSIGNED ALT THE PF STATED THAT I HAD NOW CAUSED HIM TO HAVE TO FILL OUT PAPERWORK ABOUT THE RESPONSE TO THE RA. I FEEL HIS DELAY WAS AN EFFORT TO VISUALLY ACQUIRE THE TARGET TO AVOID THE EVASIVE MANEUVER; AND IN THE END AVOID THE PAPERWORK. I FEEL TO CORRECT THE PROB ALL PLTS MUST RESPOND TO A TCASII RA AS WITH ANY OTHER PROB/EMER AND NOT CONSIDER THE POSSIBLE PAPERWORK THAT MAY BE REQUIRED.,AN acr flc receiv 2 differ tcasii RA 'S IN rapid success . first they acquir visual second they clb TO evad . AT cruis 11000 FT approx 3 NM SW OF orw vor ; zbw rpted tfc ; A be1900d ; 12 o'clock ; 7 MI ; swbound . tcasii gave TA . tfc acquir visual . tcasii then went TO RA mode . tfc level AT 10500 ft. NO evas action taken . ctr then advis OF A second target 5 MI IN trail OF be1900 . AT 10000 FT second tcasii TA ; tcasii went TO RA mode clb command . tcasii show second target clbing through 10500 ft. PF did not respond TO initi clb command second clb command . I disengag autoplt initi A clb . PF then resum ctl OF acft . when tcasii initi RA zbw gave US A freq chang TO pvd apch . WE advis zbw WE respond TO AN RA switch TO pvd apch . WE chked IN pvd dsnding TO assign alt OF 11000 FT ( out OF 11500 FT ) after respond TO AN RA . remaind OF flt without incid . I feel main factor 2 target IN close prox TO one anoth . freq chang failur OF PF TO initi respond TO tcasii RA . after WE return TO assign alt PF state that I now caus him TO have TO fill out paperwork about respons TO RA . I feel hi delay wa AN effort TO visual acquir target TO avoid evas maneuv ; IN end avoid paperwork . I feel TO correct prob all plt must respond TO A tcasii RA AS ani other prob/em not consid possibl paperwork that may BE requir . ,AN ACR FLC RECEIVE 2 DIFFERENT TCASII RA'S IN RAPID SUCCESSION. THE FIRST THEY ACQUIRE VISUALLY AND THE SECOND THEY CLB TO EVADE.
306,11000,30,ON APCH INTO BOS HDG 075 DEGS GIVEN AN IMMEDIATE SPD REDUCTION; THEN A TURN TO 180 DEGS FOR TFC. GOT TCASII 'DSND' COMMAND BUT I ACQUIRED ACFT VISUALLY. GIVEN A TURN BACK TO 270 DEGS AFTER CLR OF CONFLICT BUT THEN TOLD TO STOP TURN AT 360 DEGS.,b727 apch ctl given spd reduct hdg chang ; then receiv tcasii RA . ON apch into bo hdg 075 deg given AN immedi spd reduct ; then A turn TO 180 deg tfc . got tcasii 'dsnd ' command but I acquir acft visual . given A turn back TO 270 deg after clr OF conflict but then told TO stop turn AT 360 deg . ,B727 WITH APCH CTL GIVEN SPD REDUCTION AND HDG CHANGE; THEN RECEIVES TCASII RA.
