,before,after
32499,),)
32500,.,.
32501,FGT,fgt
32502,Y,Y
32503,RPTED,rpted
32504,ON,ON
32505,FREQ,freq
32506,LEAVING,leav
32507,11000,11000
32508,','
32509,FOR,for
32510,15000,15000
32511,','
32512,.,.
32513,THE,the
32514,CONFLICT,conflict
32515,ALERT,alert
32516,WENT,went
32517,OFF,off
32518,AND,and
32519,THIS,thi
32520,SHOWED,show
32521,FGT,fgt
32522,Y,Y
32523,APPROX,approx
32524,1,1
32525,MI,MI
32526,FROM,from
32527,ACR,acr
32528,X,X
32529,AT,AT
32530,THE,the
32531,SAME,same
32532,ALT,alt
32533,;,;
32534,CONVERGING,converg
32535,.,.
32536,I,I
32537,TOOK,took
32538,IMMEDIATE,immedi
32539,ACTION,action
32540,BY,BY
32541,TURNING,turn
32542,THE,the
32543,TFC,tfc
32544,LNDG,lndg
32545,ALB,alb
32546,IMMEDIATELY,immedi
32547,TO,TO
32548,THE,the
32549,L.,L.
32550,THE,the
32551,TFC,tfc
32552,PASSED,pass
32553,WITH,with
32554,NO,NO
32555,FURTHER,further
32556,INCIDENT,incid
32557,.,.
32558,POTENTIAL,potenti
32559,CONFLICT,conflict
32560,AS,AS
32561,COMMUTER,commut
32562,AND,and
32563,OVERTAKING,overtak
32564,CORP,corp
32565,JET,jet
32566,WERE,were
32567,ASSIGNED,assign
32568,THE,the
32569,SAME,same
32570,ALT,alt
32571,.,.
32572,ERROR,error
32573,CORRECTED,correct
32574,BEFORE,befor
32575,LOSS,loss
32576,OF,OF
32577,SEPARATION,separ
32578,.,.
32579,I,I
32580,WAS,wa
32581,WORKING,work
32582,THE,the
32583,PWL,pwl
32584,RADAR,radar
32585,POS,po
32586,AT,AT
32587,BOSTON,boston
32588,ARTCC,artcc
32589,.,.
32590,I,I
32591,OBSERVED,observ
32592,NY,NY
32593,TRACON,tracon
32594,LIBERTY,liberti
32595,E,E
32596,SECTOR,sector
32597,HANDING,hand
32598,OFF,off
32599,COMMUTER,commut
32600,X,X
32601,TO,TO
32602,ME,ME
32603,AT,AT
32604,8000,8000
32605,FT,FT
32606,NBOUND,nbound
32607,ON,ON
32608,V487,v487
32609,.,.
32610,AT,AT
32611,THE,the
32612,SAME,same
32613,TIME,time
32614,I,I
32615,ALSO,also
32616,OBSERVED,observ
32617,THE,the
32618,BOSTON,boston
32619,CENTER,center
32620,(,(
32621,DANBURY,danburi
32622,SECTOR,sector
32623,),)
32624,HANDING,hand
32625,OFF,off
32626,CORP,corp
32627,ACFT,acft
32628,Y,Y
32629,DSNDING,dsnding
32630,FROM,from
32631,14000,14000
32632,FT,FT
32633,TO,TO
32634,8000,8000
32635,FT,FT
32636,ALSO,also
32637,NBOUND,nbound
32638,ON,ON
32639,V487,v487
32640,ABOUT,about
32641,4,4
32642,MI,MI
32643,BEHIND,behind
32644,ACFT,acft
32645,X.,X.
32646,I,I
32647,THEN,then
32648,INSTRUCTED,instruct
32649,THE,the
32650,PWL,pwl
32651,RADAR,radar
32652,ASSOCIATE,associ
32653,CTLR,ctlr
32654,TO,TO
32655,CALL,call
32656,THE,the
32657,DANBURY,danburi
32658,SECTOR,sector
32659,AND,and
32660,TELL,tell
32661,HIM,him
32662,TO,TO
32663,STOP,stop
32664,ACFT,acft
32665,Y,Y
32666,'S,'S
32667,DSCNT,dscnt
32668,AT,AT
32669,9000,9000
32670,FT.,ft.
32671,CORP,corp
32672,Y,Y
32673,THEN,then
32674,PASSED,pass
32675,OVER,over
32676,THE,the
32677,TOP,top
32678,AND,and
32679,WITHIN,within
32680,A,A
32681,MI,MI
32682,LATERALLY,later
32683,OF,OF
32684,ACFT,acft
32685,X,X
32686,.,.
32687,THE,the
32688,LIBERTY,liberti
32689,E,E
32690,CTLR,ctlr
32691,HAD,had
32692,APPROVED,approv
32693,A,A
32694,POINTOUT,pointout
32695,FROM,from
32696,THE,the
32697,DANBURY,danburi
32698,SECTOR,sector
32699,TO,TO
32700,DSND,dsnd
32701,CORP,corp
32702,Y,Y
32703,TO,TO
32704,8000,8000
32705,FT.,ft.
32706,POOR,poor
32707,CTL,ctl
32708,ABILITY,abil
32709,BY,BY
32710,THE,the
32711,LIBERTY,liberti
32712,E,E
32713,CTLR,ctlr
32714,WAS,wa
32715,THE,the
32716,DIRECT,direct
32717,REASON,reason
32718,THAT,that
32719,THE,the
32720,SITUATION,situat
32721,OCCURRED,occur
32722,.,.
32723,POOR,poor
32724,PROCEDURES,procedur
32725,CONTRIBUTED,contribut
32726,TO,TO
32727,THIS,thi
32728,INCIDENT,incid
32729,.,.
32730,THESE,these
32731,ACFT,acft
32732,(,(
32733,ACFT,acft
32734,Y,Y
32735,LNDG,lndg
32736,POU,pou
32737,),)
32738,SHOULD,should
32739,NOT,not
32740,BE,BE
32741,ROUTED,rout
32742,THROUGH,through
32743,THE,the
32744,DANBURY,danburi
32745,AND,and
32746,PAWLING,pawl
32747,SECTORS,sector
32748,.,.
32749,BOSTON,boston
32750,CENTER,center
32751,SHOULD,should
32752,NOT,not
32753,CTL,ctl
32754,ACFT,acft
32755,LNDG,lndg
32756,IN,IN
32757,NY,NY
32758,TRACON,tracon
32759,AIRSPACE,airspac
32760,THAT,that
32761,DEPART,depart
32762,ARPTS,arpt
32763,S,S
32764,OF,OF
32765,NY,NY
32766,TRACON,tracon
32767,AIRSPACE,airspac
32768,.,.
32769,CALLBACK,callback
32770,CONVERSATION,convers
32771,WITH,with
32772,RPTR,rptr
32773,REVEALED,reveal
32774,THE,the
32775,FOLLOWING,follow
32776,INFORMATION,inform
32777,:,:
32778,TRIED,tri
32779,TO,TO
32780,GET,get
32781,RPTR,rptr
32782,(,(
32783,ZBW,zbw
32784,CTLR,ctlr
32785,),)
32786,TO,TO
32787,EXPLAIN,explain
32788,THE,the
32789,AIRSPACE,airspac
32790,JURISDICTION,jurisdict
32791,IN,IN
32792,DANBURY,danburi
32793,;,;
32794,PAWLING,pawl
32795,;,;
32796,POU,pou
32797,AREA,area
32798,.,.
32799,RPTR,rptr
32800,SAYS,say
32801,THAT,that
32802,AIRSPACE,airspac
32803,IS,IS
32804,PRETTY,pretti
32805,WELL,well
32806,CHOPPED,chop
32807,UP,UP
32808,WITH,with
32809,NY,NY
32810,TRACON,tracon
32811,OWNING,own
32812,11000,11000
32813,TO,TO
32814,17000,17000
32815,IN,IN
32816,THEIR,their
32817,LIBERTY,liberti
32818,AREA,area
32819,WITH,with
32820,'ABOUT,'about
32821,A,A
32822,MILLION,million
32823,SHELVES,shelv
32824,','
32825,.,.
32826,ALSO,also
32827,THE,the
32828,N90,n90
32829,CATSKILL,catskil
32830,SECTOR,sector
32831,OWNS,own
32832,5000,5000
32833,&,&
32834,6000,6000
32835,IN,IN
32836,AREA,area
32837,OF,OF
32838,POU/SWF,pou/swf
32839,ARPTS,arpt
32840,.,.
32841,HE,HE
32842,GAVE,gave
32843,EXAMPLE,exampl
32844,OF,OF
32845,ACFT,acft
32846,ENRTE,enrt
32847,TO,TO
32848,POU,pou
32849,FROM,from
32850,OVER,over
32851,JFK,jfk
32852,AT,AT
32853,FL,FL
32854,ALT,alt
32855,.,.
32856,THAT,that
32857,ACFT,acft
32858,WOULD,would
32859,WORK,work
32860,ZNY,zni
32861,THEN,then
32862,ZBW,zbw
32863,(,(
32864,DANBURY,danburi
32865,),)
32866,THEN,then
32867,N90,n90
32868,(,(
32869,LIBERTY,liberti
32870,),)
32871,THEN,then
32872,ZBW,zbw
32873,(,(
32874,PAWLING,pawl
32875,),)
32876,THEN,then
32877,N90,n90
32878,(,(
32879,CATSKILL,catskil
32880,),)
32881,THEN,then
32882,POU,pou
32883,TWR,twr
32884,.,.
32885,ZBW,zbw
32886,PAWLING,pawl
32887,CTLRS,ctlr
32888,ARE,are
32889,SUPPOSED,suppos
32890,TO,TO
32891,WORK,work
32892,ACFT,acft
32893,WHICH,which
32894,ARE,are
32895,ACTUALLY,actual
32896,IN,IN
32897,N90,n90
32898,ALLOCATED,alloc
32899,AIRSPACE,airspac
32900,.,.
32901,THIS,thi
32902,RPTR,rptr
32903,REROUTES,rerout
32904,MOST,most
32905,OF,OF
32906,THESE,these
32907,ACFT,acft
32908,SO,SO
32909,AS,AS
32910,TO,TO
32911,KEEP,keep
32912,THEM,them
32913,IN,IN
32914,HIS,hi
32915,AIRSPACE,airspac
32916,.,.
32917,ACR,acr
32918,X,X
32919,HAD,had
32920,LTSS,ltss
32921,FROM,from
32922,MIL,mil
32923,Y.,Y.
32924,SYS,sy
32925,ERROR,error
32926,.,.
32927,ACR,acr
32928,X,X
32929,WAS,wa
32930,DSNDING,dsnding
32931,INTO,into
32932,BGR,bgr
32933,FROM,from
32934,THE,the
32935,NE,NE
32936,.,.
32937,MIL,mil
32938,SPC,spc
32939,Y,Y
32940,WAS,wa
32941,HOLDING,hold
32942,ON,ON
32943,THE,the
32944,BGR,bgr
32945,140,140
32946,DEG,deg
32947,RADIAL,radial
32948,AT,AT
32949,5-30,5-30
32950,DME,dme
32951,;,;
32952,BLOCK,block
32953,6000-9000,6000-9000
32954,.,.
32955,ACR,acr
32956,X,X
32957,WAS,wa
32958,DSNDED,dsnded
32959,TO,TO
32960,3000,3000
32961,.,.
32962,I,I
32963,TRIED,tri
32964,TO,TO
32965,LEVEL,level
32966,ACR,acr
32967,X,X
32968,AT,AT
32969,8000,8000
32970,WHEN,when
32971,IT,IT
32972,WAS,wa
32973,APPARENT,appar
32974,THEY,they
32975,WOULD,would
32976,CONFLICT,conflict
32977,BUT,but
32978,ACR,acr
32979,X,X
32980,WAS,wa
32981,OUT,out
32982,OF,OF
32983,7500,7500
32984,AND,and
32985,EVENTUALLY,eventu
32986,TO,TO
32987,7100,7100
32988,THEN,then
32989,BACK,back
32990,TO,TO
32991,8000,8000
32992,.,.
32993,MIL,mil
32994,Y,Y
32995,WAS,wa
32996,ASSIGNED,assign
32997,7000,7000
32998,WHEN,when
32999,CONFLICT,conflict
33000,WAS,wa
33001,NOTICED,notic
33002,.,.
33003,HDGS,hdg
33004,WERE,were
33005,GIVEN,given
33006,;,;
33007,ACR,acr
33008,X,X
33009,DID,did
33010,NOT,not
33011,RECEIVE,receiv
33012,THE,the
33013,HDG,hdg
33014,.,.
33015,ACR,acr
33016,X,X
33017,FINALLY,final
33018,SAW,saw
33019,MIL,mil
33020,Y,Y
33021,AND,and
33022,CONTINUED,continu
33023,INTO,into
33024,BGR,bgr
33025,TO,TO
33026,LAND,land
33027,.,.
33028,SUPVR,supvr
33029,AND,and
33030,MYSELF,myself
33031,FELT,felt
33032,THIS,thi
33033,SHOULD,should
33034,BE,BE
33035,INVESTIGATED,investig
33036,.,.
33037,ACR,acr
33038,X,X
33039,DSCNT,dscnt
33040,TO,TO
33041,OCCUPIED,occupi
33042,ALT,alt
33043,HAD,had
33044,LTSS,ltss
33045,WITH,with
33046,ACR,acr
33047,Y,Y
33048,.,.
33049,SYSTEM,system
33050,ERROR,error
33051,.,.
33052,ACR,acr
33053,X,X
33054,WAS,wa
33055,A,A
33056,FERRY,ferri
33057,FLT,flt
33058,FROM,from
33059,EUROPE,europ
33060,TO,TO
33061,PHILADELPHIA,philadelphia
33062,.,.
33063,MAINTAINING,maintain
33064,FL390,fl390
33065,ALONG,along
33066,NA,NA
33067,RTE,rte
33068,102,102
33069,.,.
33070,IN,IN
33071,BOSTON,boston
33072,CENTER,center
33073,AIRSPACE,airspac
33074,RECEIVED,receiv
33075,FIRST,first
33076,DSCNT,dscnt
33077,CLRNC,clrnc
33078,IN,IN
33079,PREPARATION,prepar
33080,FOR,for
33081,ARR,arr
33082,PHASE,phase
33083,DOWN,down
33084,TO,TO
33085,FL310,fl310
33086,.,.
33087,AT,AT
33088,APPROX,approx
33089,140,140
33090,NM,NM
33091,E,E
33092,OF,OF
33093,SARDI,sardi
33094,INTXN,intxn
33095,WE,WE
33096,WERE,were
33097,CLRED,clred
33098,TO,TO
33099,FL280,fl280
33100,TO,TO
33101,BE,BE
33102,AT,AT
33103,FL280,fl280
33104,60,60
33105,NM,NM
33106,E,E
33107,OF,OF
33108,SARDI,sardi
33109,.,.
33110,AT,AT
33111,APPROX,approx
33112,105,105
33113,NM,NM
33114,E,E
33115,OF,OF
33116,SARDI,sardi
33117,WE,WE
33118,WERE,were
33119,TOLD,told
33120,TO,TO
33121,DSND,dsnd
33122,TO,TO
33123,FL280,fl280
33124,NOW,now
33125,.,.
33126,SOMEWHERE,somewher
33127,IN,IN
33128,HERE,here
33129,WE,WE
33130,WERE,were
33131,GIVEN,given
33132,A,A
33133,VECTOR,vector
33134,HDG,hdg
33135,OF,OF
33136,280,280
33137,DEG,deg
33138,.,.
33139,AS,AS
33140,WE,WE
33141,DSNDED,dsnded
33142,THROUGH,through
33143,FL285,fl285
33144,BOSTON,boston
33145,CENTER,center
33146,TOLD,told
33147,US,US
33148,TO,TO
33149,'MAINTAIN,'maintain
33150,FL290,fl290
33151,','
33152,.,.
33153,I,I
33154,REPLIED,repli
33155,;,;
33156,'TOO,'too
33157,LATE,late
33158,;,;
33159,WE,WE
33160,ARE,are
33161,AT,AT
33162,FL283,fl283
33163,','
33164,.,.
33165,I,I
33166,IMMEDIATELY,immedi
33167,BROKE,broke
33168,THE,the
33169,DSCNT,dscnt
33170,AND,and
33171,STARTED,start
33172,A,A
33173,CLB,clb
33174,BACK,back
33175,TO,TO
33176,FL290,fl290
33177,.,.
33178,THE,the
33179,CTLR,ctlr
33180,ADVISED,advis
33181,US,US
33182,WE,WE
33183,HAD,had
33184,CONVERGING,converg
33185,TFC,tfc
33186,AT,AT
33187,3,3
33188,O'CLOCK,o'clock
33189,;,;
33190,FL280,fl280
33191,AND,and
33192,GAVE,gave
33193,US,US
33194,ANOTHER,anoth
33195,HDG,hdg
33196,FURTHER,further
33197,L,L
33198,(,(
33199,240,240
33200,DEG,deg
33201,;,;
33202,I,I
33203,BELIEVE,believ
33204,),)
33205,.,.
33206,AT,AT
33207,THIS,thi
33208,POINT,point
33209,WE,WE
33210,OBSERVED,observ
33211,ACR,acr
33212,Y,Y
33213,ACFT,acft
33214,AT,AT
33215,OUR,our
33216,2,2
33217,O'CLOCK,o'clock
33218,POS,po
33219,;,;
33220,ABOUT,about
33221,1000,1000
33222,FT,FT
33223,BELOW,below
33224,;,;
33225,BANKING,bank
33226,R.,R.
33227,A,A
33228,FEW,few
33229,MOMENTS,moment
33230,LATER,later
33231,THE,the
33232,CTLR,ctlr
33233,QUESTIONED,question
33234,ME,ME
33235,REGARDING,regard
33236,OUR,our
33237,CLRNC,clrnc
33238,TO,TO
33239,FL280,fl280
33240,AND,and
33241,INFERRED,infer
33242,THE,the
33243,ERROR,error
33244,WAS,wa
33245,OURS,our
33246,.,.
33247,AT,AT
33248,THIS,thi
33249,POINT,point
33250,IT,IT
33251,SEEMED,seem
33252,THERE,there
33253,WAS,wa
33254,SOME,some
33255,SORT,sort
33256,OF,OF
33257,DISCUSSION,discuss
33258,IN,IN
33259,THE,the
33260,BACKGND,backgnd
33261,AT,AT
33262,BOSTON,boston
33263,CENTER,center
33264,.,.
33265,THE,the
33266,FOLLOWING,follow
33267,INSTRUCTIONS,instruct
33268,BECAME,becam
33269,QUITE,quit
33270,'CONCISE,'concis
33271,','
33272,.,.
33273,IT,IT
33274,SEEMED,seem
33275,THE,the
33276,CTLR,ctlr
33277,WAS,wa
33278,BEING,be
33279,DOUBLY,doubli
33280,CAREFUL,care
33281,ALL,all
33282,ATC,atc
33283,INSTRUCTIONS,instruct
33284,WERE,were
33285,BEING,be
33286,UNDERSTOOD,understood
33287,.,.
33288,LTSS,ltss
33289,BTWN,btwn
33290,ACR,acr
33291,AND,and
33292,COMMUTER,commut
33293,WHILE,while
33294,ON,ON
33295,VECTORS,vector
33296,TO,TO
33297,ILS,il
33298,APCH,apch
33299,.,.
33300,OPERROR,operror
33301,.,.
33302,APCHING,apch
33303,BOS,bo
33304,FROM,from
33305,THE,the
33306,S,S
33307,FOR,for
33308,AN,AN
33309,ILS,il
33310,DME,dme
33311,33L,33l
33312,.,.
33313,WE,WE
33314,WERE,were
33315,ON,ON
33316,A,A
33317,060,060
33318,DEG,deg
33319,HDG,hdg
33320,AT,AT
33321,5000,5000
33322,FT.,ft.
33323,CLRNC,clrnc
33324,WAS,wa
33325,ISSUED,issu
33326,TO,TO
33327,US,US
33328,TO,TO
33329,TURN,turn
33330,L,L
33331,TO,TO
33332,350,350
33333,DEG,deg
33334,;,;
33335,DSND,dsnd
33336,AND,and
33337,MAINTAIN,maintain
33338,4000,4000
33339,FT,FT
33340,;,;
33341,SLOW,slow
33342,TO,TO
33343,170,170
33344,KTS,kt
33345,.,.
33346,I,I
33347,ACKNOWLEDGED,acknowledg
33348,THE,the
33349,CLRNC,clrnc
33350,AND,and
33351,READ,read
33352,IT,IT
33353,BACK,back
33354,TO,TO
33355,HIM,him
33356,.,.
33357,HE,HE
33358,THEN,then
33359,ISSUED,issu
33360,ACR,acr
33361,Z,Z
33362,TFC,tfc
33363,AT,AT
33364,2,2
33365,O'CLOCK,o'clock
33366,3,3
33367,MI,MI
33368,AT,AT
33369,3000,3000
33370,FT,FT
33371,.,.
33372,I,I
33373,RESPONDED,respond
33374,TFC,tfc
33375,IN,IN
33376,SIGHT,sight
33377,TO,TO
33378,WHICH,which
33379,THERE,there
33380,WAS,wa
33381,NO,NO
33382,RESPONSE,respons
33383,FROM,from
33384,THE,the
33385,CTLR,ctlr
33386,.,.
33387,HE,HE
33388,(,(
33389,ATC,atc
33390,),)
33391,THEN,then
33392,STARTED,start
33393,ISSUING,issu
33394,CLRNCS,clrnc
33395,TO,TO
33396,OTHER,other
33397,TFC,tfc
33398,.,.
33399,WE,WE
33400,CONTINUED,continu
33401,ON,ON
33402,HDG,hdg
33403,AS,AS
33404,ASSIGNED,assign
33405,AND,and
33406,WATCHED,watch
33407,ACR,acr
33408,Z,Z
33409,PASS,pass
33410,BELOW,below
33411,AND,and
33412,JUST,just
33413,TO,TO
33414,OUR,our
33415,L.,L.
33416,WE,WE
33417,THEN,then
33418,PASSED,pass
33419,THROUGH,through
33420,THE,the
33421,LOC,loc
33422,ON,ON
33423,PREVIOUSLY,previous
33424,ASSIGNED,assign
33425,HDG,hdg
33426,(,(
33427,ALTHOUGH,although
33428,WE,WE
33429,DID,did
33430,NOT,not
33431,STATE,state
33432,IT,IT
33433,VERBALLY,verbal
33434,;,;
33435,WE,WE
33436,BOTH,both
33437,ASSUMED,assum
33438,THAT,that
33439,THE,the
33440,CTLR,ctlr
33441,WAS,wa
33442,HAVING,have
33443,US,US
33444,FLY,fli
33445,THROUGH,through
33446,THE,the
33447,LOC,loc
33448,FOR,for
33449,ADDITIONAL,addit
33450,SPACING,space
33451,ON,ON
33452,ACR,acr
33453,Z,Z
33454,WHICH,which
33455,WE,WE
33456,ALSO,also
33457,ASSUMED,assum
33458,THAT,that
33459,WE,WE
33460,WERE,were
33461,FOLLOWING,follow
33462,),)
33463,.,.
33464,APPROX,approx
33465,45,45
33466,SECONDS,second
33467,AFTER,after
33468,FLYING,fli
33469,THROUGH,through
33470,THE,the
33471,LOC,loc
33472,OF,OF
33473,350,350
33474,DEG,deg
33475,HDG,hdg
33476,ATC,atc
33477,ASKED,ask
33478,US,US
33479,IF,IF
33480,WE,WE
33481,WERE,were
33482,INTERCEPTING,intercept
33483,THE,the
33484,LOC,loc
33485,.,.
33486,I,I
33487,REPLIED,repli
33488,'NO,'no
33489,SIR,sir
33490,','
33491,.,.
33492,HE,HE
33493,THEN,then
33494,ISSUED,issu
33495,AN,AN
33496,IMMEDIATE,immedi
33497,L,L
33498,TURN,turn
33499,TO,TO
33500,SOME,some
33501,HDG,hdg
33502,TO,TO
33503,WHICH,which
33504,I,I
33505,REPLIED,repli
33506,'OK,'ok
33507,L,L
33508,TURN,turn
33509,SAY,say
33510,AGAIN,again
33511,THE,the
33512,HDG,hdg
33513,','
33514,.,.
33515,TO,TO
33516,WHICH,which
33517,HE,HE
33518,REPLIED,repli
33519,'JUST,'just
33520,TURN,turn
33521,L,L
33522,IMMEDIATELY,immedi
33523,--,--
33524,IMMEDIATELY,immedi
33525,;,;
33526,IT,IT
33527,DOES,doe
33528,NOT,not
33529,MATTER,matter
33530,WHAT,what
33531,HDG,hdg
33532,JUST,just
33533,TURN,turn
33534,L,L
33535,AND,and
33536,COMMUTER,commut
33537,Y,Y
33538,TURN,turn
33539,L,L
33540,IMMEDIATELY,immedi
33541,TO,TO
33542,(,(
33543,SOME,some
33544,HDG,hdg
33545,),)
33546,.,.
33547,','
33548,AT,AT
33549,THIS,thi
33550,POINT,point
33551,;,;
33552,IN,IN
33553,A,A
33554,30,30
33555,DEG,deg
33556,L,L
33557,BANK,bank
33558,;,;
33559,I,I
33560,SAW,saw
33561,COMMUTER,commut
33562,Y,Y
33563,ALSO,also
33564,IN,IN
33565,A,A
33566,TIGHT,tight
33567,L,L
33568,TURN,turn
33569,.,.
33570,RELATIVE,rel
33571,TO,TO
33572,US,US
33573,HE,HE
33574,WAS,wa
33575,AT,AT
33576,12:30,12:30
33577,O'CLOCK,o'clock
33578,AND,and
33579,SAME,same
33580,ALT,alt
33581,LESS,less
33582,THAN,than
33583,1,1
33584,MI,MI
33585,.,.
33586,CTLR,ctlr
33587,THEN,then
33588,SAID,said
33589,TO,TO
33590,US,US
33591,THAT,that
33592,'LAST,'last
33593,CLRNC,clrnc
33594,ISSUED,issu
33595,HAD,had
33596,BEEN,been
33597,TO,TO
33598,INTERCEPT,intercept
33599,THE,the
33600,LOC,loc
33601,','
33602,.,.
33603,I,I
33604,STATED,state
33605,;,;
33606,'NO,'no
33607,SIR,sir
33608,;,;
33609,IT,IT
33610,WAS,wa
33611,NOT,not
33612,','
33613,.,.
33614,HE,HE
33615,THEN,then
33616,ISSUED,issu
33617,A,A
33618,'300,'300
33619,DEG,deg
33620,HDG,hdg
33621,TO,TO
33622,REINTERCEPT,reintercept
33623,THE,the
33624,LOC,loc
33625,CLRED,clred
33626,FOR,for
33627,THE,the
33628,APCH,apch
33629,','
33630,.,.
33631,APCH,apch
33632,AND,and
33633,LNDG,lndg
33634,FROM,from
33635,THAT,that
33636,POINT,point
33637,WERE,were
33638,UNEVENTFUL,unev
33639,.,.
33640,CONTRIBUTING,contribut
33641,FACTORS,factor
33642,:,:
33643,1,1
33644,),)
33645,VERY,veri
33646,HIGH,high
33647,ATC,atc
33648,WORKLOAD,workload
33649,.,.
33650,CTLR,ctlr
33651,HAD,had
33652,TO,TO
33653,BREAK,break
33654,A,A
33655,WDB,wdb
33656,OFF,off
33657,OF,OF
33658,THE,the
33659,APCH,apch
33660,BEHIND,behind
33661,US,US
33662,BECAUSE,becaus
33663,'THERE,'there
33664,ARE,are
33665,9,9
33666,ACFT,acft
33667,ON,ON
33668,THE,the
33669,LOC,loc
33670,AND,and
33671,IN,IN
33672,JUST,just
33673,DO,DO
33674,N'T,n't
33675,HAVE,have
33676,ROOM,room
33677,FOR,for
33678,YOU,you
33679,','
33680,.,.
33681,2,2
33682,),)
33683,POSSIBLY,possibl
33684,THE,the
33685,CTLR,ctlr
33686,HAD,had
33687,INTENDED,intend
33688,FOR,for
33689,US,US
33690,TO,TO
33691,EITHER,either
33692,A,A
33693,),)
33694,FOLLOW,follow
33695,ACR,acr
33696,Z,Z
33697,ON,ON
33698,THE,the
33699,APCH,apch
33700,AND,and
33701,THOUGHT,thought
33702,HE,HE
33703,HAD,had
33704,ISSUED,issu
33705,THE,the
33706,CLRNC,clrnc
33707,FOR,for
33708,US,US
33709,TO,TO
33710,INTERCEPT,intercept
33711,OR,OR
33712,B,B
33713,),)
33714,ISSUED,issu
33715,THE,the
33716,CLRNC,clrnc
33717,TO,TO
33718,US,US
33719,AND,and
33720,IT,IT
33721,WAS,wa
33722,'STEPPED,'step
33723,ON,ON
33724,','
33725,BY,BY
33726,ANOTHER,anoth
33727,XMISSION,xmission
33728,;,;
33729,OR,OR
33730,C,C
33731,),)
33732,INTENDED,intend
33733,ON,ON
33734,A,A
33735,LATE,late
33736,TURN,turn
33737,ON,ON
33738,(,(
33739,OR,OR
33740,FLY-THROUGH,fly-through
33741,TO,TO
33742,REINTERCEPT,reintercept
33743,LOC,loc
33744,),)
33745,FOR,for
33746,SPACING,space
33747,ON,ON
33748,Z,Z
33749,TFC,tfc
33750,AND,and
33751,FORGOT,forgot
33752,ABOUT,about
33753,US,US
33754,.,.
33755,LTSS,ltss
33756,BTWN,btwn
33757,2,2
33758,ACR,acr
33759,ACFT,acft
33760,.,.
33761,TCASII,tcasii
33762,INVOLVED,involv
33763,.,.
33764,ACFT,acft
33765,APCHED,apch
33766,EACH,each
33767,OTHER,other
33768,AT,AT
33769,ABOUT,about
33770,A,A
33771,70,70
33772,DEG,deg
33773,ANGLE,angl
33774,OF,OF
33775,INTERCEPT,intercept
33776,.,.
33777,WHEN,when
33778,OPPOSING,oppos
33779,ACR,acr
33780,Y,Y
33781,WAS,wa
33782,FIRST,first
33783,NOTICED,notic
33784,ON,ON
33785,TCAS,tca
33786,IT,IT
33787,WAS,wa
33788,400,400
33789,FT,FT
33790,BELOW,below
33791,OUR,our
33792,ALT,alt
33793,.,.
33794,OCEAN,ocean
33795,APCH,apch
33796,GAVE,gave
33797,US,US
33798,AN,AN
33799,IMMEDIATE,immedi
33800,DSCNT,dscnt
33801,TO,TO
33802,9000,9000
33803,FT,FT
33804,.,.
33805,OPPOSING,oppos
33806,ACR,acr
33807,Y,Y
33808,ALSO,also
33809,DSNDED,dsnded
33810,WITH,with
33811,US,US
33812,.,.
33813,TCAS,tca
33814,RESOLUTION,resolut
33815,THEN,then
33816,GAVE,gave
33817,A,A
33818,CLB,clb
33819,COMMAND,command
33820,.,.
33821,LATER,later
33822,OCEAN,ocean
33823,APCH,apch
33824,GAVE,gave
33825,US,US
33826,A,A
33827,CLB,clb
33828,TO,TO
33829,10000,10000
33830,FT,FT
33831,AND,and
33832,OPPOSING,oppos
33833,ACFT,acft
33834,BANKED,bank
33835,TO,TO
33836,R,R
33837,AWAY,away
33838,FROM,from
33839,US,US
33840,.,.
33841,NO,NO
33842,TSTMS,tstm
33843,FROM,from
33844,OR,OR
33845,TO,TO
33846,OPPOSING,oppos
33847,ACFT,acft
33848,WERE,were
33849,HEARD,heard
33850,AND,and
33851,I,I
33852,ASSUME,assum
33853,THEY,they
33854,WERE,were
33855,ON,ON
33856,BOS,bo
33857,CENTER,center
33858,.,.
33859,ACR,acr
33860,Y,Y
33861,WAS,wa
33862,A,A
33863,COMPANY,compani
33864,MLG,mlg
33865,TYPE,type
33866,.,.
33867,ACR,acr
33868,X,X
33869,NON,non
33870,ADHERENCE,adher
33871,TO,TO
33872,ATC,atc
33873,CLRNC,clrnc
33874,BECAUSE,becaus
33875,OF,OF
33876,TCASII,tcasii
33877,TA,TA
33878,.,.
33879,PLTDEV,pltdev
33880,.,.
33881,ACR,acr
33882,X,X
33883,UPON,upon
33884,DEP,dep
33885,FROM,from
33886,RWY,rwi
33887,6,6
33888,BDL,bdl
33889,ESTABLISHED,establish
33890,075,075
33891,DEG,deg
33892,HDG,hdg
33893,AS,AS
33894,PER,per
33895,SID,sid
33896,.,.
33897,TCAS,tca
33898,PICKED,pick
33899,UP,UP
33900,NON,non
33901,ALT,alt
33902,TFC,tfc
33903,AT,AT
33904,10-12,10-12
33905,O'CLOCK,o'clock
33906,PROCEEDING,proceed
33907,NBOUND,nbound
33908,.,.
33909,WITH,with
33910,COORD,coord
33911,WITH,with
33912,TWR,twr
33913,;,;
33914,075,075
33915,DEG,deg
33916,HDG,hdg
33917,WAS,wa
33918,MAINTAINED,maintain
33919,AND,and
33920,WERE,were
33921,SWITCHED,switch
33922,TO,TO
33923,DEP,dep
33924,CTL,ctl
33925,.,.
