 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
372040,199706,1801-2400,GDM,MA,286,60,,24000,VMC,,,Daylight,,,Center ZBW,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise; Climb; Descent; Descent; Cruise,Direct,Class A ZMA,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,Other Unknown,IFR,,,Climb,,,,,,,,,,,,,,,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,,,372040,,,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Procedural Clearance; Other Unspecified,Vertical 1400,,Person Flight Crew,,Flight Crew Returned To Clearance; Flight Crew Took Evasive Action,,Human Factors,"ATC FACILITY: ZBW. LOCATION: 60 NM W GDM VOR ON 286 DEG RADIAL FLYING DIRECT TO GDM AT FL250. WE OBSERVED TFC ON TCASII SLIGHTLY TO THE R AND AHEAD CLBING RAPIDLY 1600 FT BELOW JUST WITHIN 10 NM. HE QUICKLY WENT FROM A TA ON THE TCASII TO A CLB RA. AS WE BEGAN OUR CLB WE ACQUIRED THE TFC VISUALLY AND ATC NOTIFIED US OF THE TFC. WE NOTIFIED ATC THAT WE WERE RESPONDING TO A TCASII RA WHICH HE ROGERED. THE TFC LEVELED OFF AT HIS ASSIGNED ALT OF FL240 AS HE PASSED US. WE GOT A CLR OF CONFLICT NOTICE FROM TCASII AND BEGAN OUR DSCNT BACK TO OUR ASSIGNED ALT OF FL250. WE WERE AT FL254 WHEN WE BEGAN OUR DSCNT BACK TO FL250. ZBW MADE NO FURTHER COMMENT; THEREFORE I BELIEVE THAT NO TFC CONFLICT EXISTED.",,,,"FLC OF A SUPER MD80 CLBED ABOVE ASSIGNED ALT IN RESPONSE TO A TCASII RA. THE OTHER ACFT WAS OBSERVED BY THE FLC LEVELING OFF AT ASSIGNED ALT; 1000 FT BELOW WHEN THE 2 ACFT PASSED.",
372123,199706,1201-1800,HVN,CT,,7,,2600,Marginal,5,,Daylight,,,TRACON N90,Air Carrier,Jetstream 41,,2,Part 121,IFR,Passenger,,Descent; Descent,,Class E N90,,,,,,,,,,,,,,,,Personal,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,1,Part 91,VFR,Personal,,Cruise; Cruise,,,,,,,,,,,,,,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Radar 7; Flight Crew Total 450,,,,372123,,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,Conflict NMAC; Other Unspecified,Horizontal 200; Vertical 0,,Person Air Traffic Control,,Flight Crew Took Evasive Action; General None Reported / Taken,,Human Factors,"BA41 INBOUND HVN TRACKING ILS RWY 2. PA28 RECEIVING VFR ADVISORIES; LEVEL 2600 FT WBOUND S OF HVN. CLRED BA41 TO CROSS SALLT AT 2000 FT; CLRED ILS RWY 2; CALLED TFC '1 O'CLOCK; 5 MI; WBOUND; CHEROKEE AT 2600 FT WILL CROSS ABOVE YOU; MY CTL.' PA28 WAS GOING TO CROSS ILS APCH COURSE 1 MI N OF SALLT. ALSO CALLED TFC FOR PA28 AND ADVISED HIM THAT BA41 WOULD CROSS UNDERNEATH INBOUND HVN. APPROX 2 MI S OF SALLT; I OBSERVED BA41 AT 2600 FT AND CLBING. I ASKED IF HE WAS RESPONDING TO AN RA. HE SAID 'YES.' THEN HE ANNOUNCED HE WAS TURNING R TO AVOID TFC. THIS WAS A TOTALLY UNNECESSARY RA; AND IT TURNED A CTLED SIT INTO A VERY DANGEROUS ONE. THIS IS NOT THE FIRST TIME THAT I HAVE HAD TCASII ACFT 'LEAP FROG' XING VFR TFC THEY HAD BEEN ADVISED OF.",,,,"AN IFR COMMUTER ACFT WAS ISSUED A DSCNT CLRNC BELOW A VFR PA28 AT 2600 FT WITH TFC EXCHANGED WITH BOTH ACFT. THE COMMUTER ACFT RECEIVED A TCASII RA ON THE PA28 WHILE IN DSCNT; REVERSED COURSE; AND CLBED THROUGH THE PA28'S ALT. THE CTLR CLAIMS THAT THE UNNECESSARY TCASII RA TURNED A CTLED SIT INTO A DANGEROUS SIT.",
372298,199706,1201-1800,PVD,RI,,25,,10000,VMC,10,,Daylight,,,TRACON PVD,Air Carrier,Dash 8 Series Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise; Cruise,,Class E PVD,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,Other Unknown,VFR,,,Climb,,,,,,,,,,,,,,,Government,Approach,Air Traffic Control Fully Certified; Flight Crew Instrument,Air Traffic Control Radar 15; Flight Crew Total 2300,,,,372298,,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,Conflict NMAC; Deviation - Procedural FAR; Other Unspecified,Horizontal 500; Vertical 0,,Person Flight Crew; Person Air Traffic Control,,Flight Crew Took Evasive Action; General None Reported / Taken,,Human Factors,"ACR X CHKED IN AT 10000 FT. I CALLED TFC AT 2 O'CLOCK POS 3 NM; 9300 FT AND APPEARING TO BE CLBING. ACR X CALLED THE TFC IN SIGHT. A SHORT TIME LATER ACR X MADE AN EVASIVE MANEUVER TO AVOID THE ACFT WHICH HAD TURNED AND CROSSED HIS BOW. ACR X CLBED INTO THE CTR'S AIRSPACE AND I COORDINATED A POINTOUT WITH ZBW.",,,,"AN IFR DH8 AT 10000 FT IN VMC CONDITIONS WAS ISSUED UNKNOWN TFC AT 9300 FT 3 MI AWAY AND CLBING. THE DH8 RPTED TFC IN SIGHT. SHORTLY THEREAFTER; THE CTLR OBSERVED THE DH8 TAKE EVASIVE ACTION TO AVOID THE UNKNOWN ACFT.",
372312,199706,1801-2400,PUT,CT,40,21,,3000,VMC,15,,Daylight,,,,Personal,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,1,Part 91,None,Personal,,Cruise; Cruise,,Class E ZBW,,,,,,,,,,,,,,,,,Cessna Twin Piston Undifferentiated or Other Model,,1,Other Unknown,,,,Cruise; Cruise,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 15; Flight Crew Total 276; Flight Crew Type 93,,,,372312,,,,Single Pilot; Pilot Flying,,,,,,,Conflict NMAC; Other Unspecified,Horizontal 30; Vertical 50,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"I HAD TURNED FROM A WESTERLY HDG (APPROX 285-295 DEGS) TO A SOUTHERLY ONE (170-180 DEGS). AFTER PROCEEDING ON THIS NEW HDG FOR A SHORT TIME; LESS THAN A MIN; THE TWIN ENG ACFT PASSED QUICKLY SLIGHTLY IN FRONT OF AND BELOW ME FROM L TO R (ON A GENERALLY WESTERLY HDG). THE MISS DISTANCE WAS VERY SMALL AS I FELT THE OTHER'S WAKE TURB AS IT PASSED. I HAD NOT SEEN THE OTHER ACFT EITHER BEFORE OR AFTER MY TURN. THE OTHER ACFT MAY HAVE HAD DIFFICULTY SEEING TFC AS IT WAS HDG TOWARDS A SETTING SUN. THE ENTIRE INCIDENT HAPPENED SO QUICKLY THAT I WAS UNABLE TO REACT AND TAKE EVASIVE ACTION. IMPROVED SCANNING TECHNIQUES IN BOTH ACFT COULD HAVE PREVENTED THIS INCIDENT.",,,,"NMAC BTWN A PIPER PA28; AND A TWIN ENG CESSNA DURING CRUISE FLT AT AN ALT OF 3000 FT MSL.",
372667,199706,1801-2400,BOS,MA,120,18,,6000,VMC,20,,Daylight,25000,,TRACON BOS,Air Carrier,SF 340A,,2,Part 121,IFR,Passenger,,Cruise; Cruise,Vectors,Class B BOS,,,,,,,,,,,Transponder,,X,Malfunctioning,,,Any Unknown or Unlisted Aircraft Manufacturer,,,Other Unknown,None,,,Cruise; Cruise,,,,,,,,,,,,,,,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 180; Flight Crew Total 8000; Flight Crew Type 600,,,,372667,,,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Other Unspecified,Horizontal 3000; Vertical 200,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"SAAB340; WE WERE BEING VECTORED FOR APCH TO BOSTON. WITH NO PREVIOUS TFC CAUTION; WE RECEIVED A TCASII RA TO CLB WITH AN AIRPLANE 200 FT BELOW US AND LESS THAN 1/2 MI AWAY. THE REPLY FROM THE OTHER ACFT'S XPONDER APPEARED INTERMITTENT AND ATC HAD NO RADAR REPLY FROM THAT ACFT.",,,,"FLC OF A SAAB; SF340; RESPONDED TO A TCASII RA DURING VECTORS FOR AN APCH WITHIN CLASS B AIRSPACE FROM ANOTHER UNKNOWN ACFT TO ATC SINCE IT DID NOT SHOW A RADAR RETURN. RPTR NOTED THAT THE XPONDER OF THE OTHER ACFT WAS INTERMITTENT.",
372852,199706,0601-1200,BOS,MA,180,,,4000,VMC,10,,Daylight,10000,,TRACON BOS,Air Taxi,Cessna 402/402C/B379 Businessliner/Utiliner,,2,Part 135,IFR,Passenger,,Cruise; Cruise,,Class B BOS; Class E BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Taxi,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 200; Flight Crew Total 3700; Flight Crew Type 275,,,,372852,,,Air Taxi,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Published Material / Policy,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"IFR; BOS DIRECT ACK FILED 5000 FT. ATC STOPPED CLB AT 4000 FT HDG 150 DEGS. JETSTREAM WAS SEEN DSNDING R TO L APPROX 060 DEG HDG DSCNT STOPPED AT 4000 FT. I CALLED TFC R TO L 10 SECONDS BEFORE JETSTREAM CALLED. ATC SAID JETSTREAM WAS CLRED TO 5000 FT; JETSTREAM SAID CLRED TO 4000 FT. POOR VECTOR FROM CTL. DANGEROUS ALT ASSIGNMENT. DANGEROUS SITUATIONAL AWARENESS OF ATC. IF IN IMC NO VISUAL WOULD HAVE BEEN AVAILABLE; VERY HIGH POSSIBILITY OF MIDAIR COLLISION. CTL STOPPED MY CLB AT AN IMPROPER ALT FOR HEADING.",,,,"C402 ACFT WAS CLRED TO STOP CLB FOR TFC AND TFC CONTINUED DSCNT TO RPTR ACFT ALT RESULTING IN LOSS OF SEPARATION.",
373796,199707,1801-2400,BOS,MA,,1,800,,VMC,,,Dusk,,,Tower BOS,Air Carrier,SF 340A,,2,Part 121,IFR,Passenger,,Climb,Vectors,Class B BOS; Class D BOS,,,,,,,,,,,,,,,,Personal,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,1,Part 91,None,Personal,,Cruise; Cruise,,,,,,,,,,,,,,,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 200; Flight Crew Total 6000; Flight Crew Type 200,,,,373796,,,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,Conflict NMAC; Deviation - Procedural FAR; Deviation - Procedural Published Material / Policy,Horizontal 0; Vertical 100,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"WE DEPARTED BOS ON RWY 22R AND WERE GIVEN AN INITIAL HDG OF 260 DEGS. THERE WAS A CHEROKEE ON A SIGHTSEEING TOUR AT APPROX 800-1000 FT. HE WAS APPROX 1/2 - 1 MI FROM THE DEP END OF RWY 22R. ON THE 260 DEG HDG IN THE CLB; WE WERE LOOKING RIGHT INTO THE SUN AND DID NOT HAVE VISUAL CONTACT WITH THE CHEROKEE NOR DID THE CTLR ADVISE US OF ANY TFC IN OUR AREA. I RECEIVED A 'MONITOR VERT SPD' FROM OUR TCASII FOLLOWED IMMEDIATELY BY A 'CLB; CLB NOW.' A SOLID RED BOX WITH NO ALT (RA) WAS RIGHT AT OUR 12 O'CLOCK POS ON THE TCASII. MY VSI HAD RED DOTS FROM 6000 FT DOWN; 4000 FT UP; AND ONLY 2 OR 3 GREEN DOTS APPEARED BEYOND THAT. I PULLED THE NOSE OF THE ACFT TO 30 DEGS UP AND THE CHEROKEE PASSED RIGHT UNDER THE NOSE AND R WING. AS WE PASSED HIM; OUR TCASII SHOWED A SOLID RED BOX WITH ALTS OF 100 FT; 200 FT; 300 FT AND THEN IT CALLED 'CLR OF CONFLICT.' I CALLED THE TWR SUPVR AND A FULL INVESTIGATION IS UNDER WAY. MY ONLY CONCERN (OTHER THAN THE FACT WE ARE ALL HUMAN AND MAKE MISTAKES) IS HOW THE FAA CAN ALLOW GA ACFT THAT CLOSE TO AN INTL ARPT IS BEYOND ME. I AM GLAD THAT MY ACFT WAS NOT A STATISTIC THAT WOULD START THE BALL ROLLING TO GET THIS PROB CHANGED. SOMETHING NEEDS TO BE DONE. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: TYPE ACFT SAAB 340. RPTR ADVISED CTLR HANDLING HIS FLT WAS OLD TIMER; PROBABLY 30 YRS IN THE TWR. HAS BEEN DECERTIFIED AND IS RECEIVING ADDITIONAL TRAINING. INVESTIGATION OF THE INCIDENT IS ONGOING AND HE IS DETERMINED TO GET A FINAL ANSWER. FEELS IT IS A POLICY OF THE TWR TO LET THESE SIGHTSEEING FLTS OPERATE IN CLOSE PROX TO THE ARPT.",,,,"SAAB 340 DEPARTED RWY 22R AND TURNED TO 260 DEGS. TCASII GAVE A TA FOLLOWED BY RA TO CLB. SUN WAS OBSCURING AND SAW A CHEROKEE AT 800-1000 FT DIRECTLY AHEAD. PULLED NOSE UP AND PASSED 100 FT OVER THE CHEROKEE. TWR HAD NOT RPTED THE TFC.",
373993,199707,1201-1800,SFM,ME,,0,,1200,VMC,10,,Daylight,4000,,,Personal,Champion Citabria 7ECA,,1,Part 91,VFR,Personal,,Other Pattern,,Class G SFM,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,1,Other Unknown,,,,Other Pattern,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 100; Flight Crew Total 100; Flight Crew Type 100,,,,373993,,,,Single Pilot; Pilot Flying,,,,,,,Conflict Airborne Conflict; Deviation - Procedural Other / Unknown; Other Unspecified,Horizontal 1300; Vertical 500,,Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"I WAS FLYING A SINGLE ENG AIRPLANE AT AN UNCTLED ARPT. I ENTERED THE PATTERN AT A 45 DEG ANGLE AND PROCEEDED TO FLY THE DOWNWIND LEG OF THE PATTERN. WHILE ON THE DOWNWIND LEG A TWIN ENG AIRPLANE CROSSED THE PATTERN AT A 90 DEG ANGLE A FEW HUNDRED FT ABOVE PATTERN ALT AND 1/4 MI IN FRONT OF ME. THIS WAS DONE IN SPITE OF THE FACT THAT I WAS ALREADY IN THE PATTERN AND HAD RIGHT-OF-WAY. I OBSERVED THE TWIN ENG AIRPLANE AS IT CROSSED MY PATH IN THE PATTERN. SINCE THE TWIN ENG AIRPLANE WAS A FEW HUNDRED FT ABOVE MY ALT; 1/4 MI AHEAD OF ME AND FLYING FASTER THAN ME; I REALIZED THAT WE WERE NOT ON A COLLISION COURSE. IN ANY EVENT; I PULLED BACK ON THE THROTTLE IN ORDER TO SLOW MY AIRSPD SO AS NOT TO GET ANY CLOSER TO THE TWIN ENG THAN I ALREADY WAS. A CONTRIBUTING FACTOR TO THE PROB IS THE LIKELY POSSIBILITY THAT I WAS ON THE WRONG CTAF. HOWEVER; A RADIO IS NOT REQUIRED AT AN UNCTLED ARPT SINCE THERE IS NOT A TWR A THE ARPT. THEREFORE; WHETHER I WAS ON THE RIGHT FREQ OR NOT DID NOT CHANGE THE FACT THAT I HAD THE RIGHT-OF-WAY SINCE I WAS ALREADY IN THE PATTERN AND IT WAS THE RESPONSIBILITY OF THE TWIN ENG TO STAY CLR OF THE TFC ALREADY IN THE PATTERN. PLTS ARE SUPPOSED TO USE 'SEE AND AVOID' PROCS AT UNCTLED ARPTS; WHICH THE PLT OF THE TWIN ENG DID NOT ADEQUATELY DO. HAD THE PLT OF THE TWIN ENG USED PROPER 'SEE AND AVOID' PROCS; THE PROB WOULD HAVE BEEN AVOIDED.",,,,"PVT PLT OF A CHAMPION 76C-AA; SLOWED TO HELP PROVIDE MORE DISTANCE BTWN HIM AND ANOTHER ACFT XING IN FRONT OF HIM ON THE DOWNWIND LEG IN THE TFC PATTERN AT AN UNCTLED ARPT.",
374000,199707,1201-1800,OXC,CT,,0,,1000,VMC,,,Daylight,,,,Personal,Any Unknown or Unlisted Aircraft Manufacturer,,1,Part 91,VFR,Personal,,Initial Approach; Landing; Other Pattern,,Class G OXC,,,,,,,,,,,,,,,,,Skyhawk 172/Cutlass 172,,1,Part 91,,,,Initial Approach; Landing; Landing; Other Pattern,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 1700,,,,374000,,,Other Unknown GA,Single Pilot; Pilot Flying,,,,,,,Conflict Airborne Conflict; Deviation - Procedural Other / Unknown; Other Unspecified,,,Person Flight Crew,,Flight Crew Took Evasive Action; Flight Crew Executed Go Around / Missed Approach,,Human Factors,"EXECUTED STANDARD APCH TO DOWNWIND; BASE; FINAL. ACFT AHEAD ON FINAL WAS SLOW AND 1/4 MI OFF RWY; LNDG GEAR EXTENDED. I WAS DOUBTFUL OF HIS INTENTION TO LAND AND CONTINUED MY APCH. AS WE APCHED SHORT FINAL; ACFT AHEAD DSNDED STEEPLY FOR RWY FROM HIS POS OFF RWY; LNDG GEAR EXTENDED; WHERE IT APPEARED HE WAS PLANNING A PARALLEL PASS. I WAS LATE MAKING MY DECISION TO GO AROUND WITH LNDG GEAR EXTENDED AND FULL FLAPS. I APCHED CLOSER TO RWY AND DRIFTED OFF CTR TOWARD RAMP/TERMINAL WHILE EXECUTING GAR. IN FUTURE TIMES; I WILL REQUEST INTENTIONS FROM PLT AHEAD AND INITIATE GAR EARLIER SINCE MY ACFT IS FASTER AND REQUIRES PRECISE BALKED LNDG PROC.",,,,"PLT OF A COMPLEX SMA SEL MADE A LATE GAR TO AN UNCTLED ARPT TO AVOID A C172 ON A SHORT WIDE FINAL. THE REASON FOR THE LATE GAR WAS DUE TO THE UNKNOWN INTENTIONS OF THE OTHER ACFT CAUSING THE RPTR TO BECOME CLOSER TO THE TERMINAL AND RAMP AREA THAN NORMALLY EXPECTED.",
374271,199707,1201-1800,BOS,MA,,0,100,,VMC,6,,Daylight,5000,,Tower BOS,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Takeoff; Initial Climb,,Class B BOS,,,,,,,,,,,,,,,,Air Carrier,B727-200,,3,Part 121,IFR,Passenger,,Landing; Initial Approach,,,,,,,,,,,,,,,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer,Flight Crew Last 90 Days 225; Flight Crew Total 12000; Flight Crew Type 1500,,,,374271,,,Air Carrier,First Officer,Flight Crew Commercial; Flight Crew Instrument,,,,,,ATC Issue All Types; Conflict NMAC; Deviation - Procedural FAR; Deviation - Procedural Published Material / Policy,Horizontal 0; Vertical 200,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,,Human Factors,"JUST AFTER ROTATION ON RWY 22R WE SAW AN ACFT (B727) EXECUTING A GAR FROM RWY 27. THE NOSE WAS LOWERED SO THAT WE WOULD PASS BELOW THE ACFT. THE CTLR QUICKLY STATED TO 'MAINTAIN RWY HDG' INSTEAD OF TURNING L TO OUR ORIGINALLY ASSIGNED HDG OF 140 DEGS. THE CTLR THEN STATED TO 'TURN R HDG 270 DEGS. ALTHOUGH THE CTLR TRIED HARD TO PROTECT AGAINST A COLLISION; HDG INFO COULD NOT HAVE HELPED IN THIS SIT (TOO LATE). A SIMPLE 'TFC' CALL WOULD HAVE GOT OUR EYES OUT OF THE COCKPIT HAD WE BEEN LOOKING INSIDE. HAD WE NOT SEEN THE ACFT GOING AROUND AND CONTINUED WITH OUR TKOF PROFILE (INCLUDING FOLLOWING THE CTLR INSTRUCTIONS) WE WOULD HAVE COME VERY CLOSE TO HITTING. SUPPLEMENTAL INFO FROM ACN 374277 REVEALED THE FOLLOWING INFO: ON ILS APCH TO RWY 27 AT BOS IN VMC AT 700 FT AGL; GPWS 'WHOOP; WHOOP; PULL UP' STARTED SOUNDING CONTINUOUSLY. ACFT WAS ON GS; GEAR AND FLAPS WERE RECHKED IN LNDG CONFIGN (30 DEGS FLAPS). APCH WAS OVER WATER AT 300 FT GPWS 3W WAS POSITIONED TO 'OFF' AND WE INITIATED A MISSED APCH TO REAFFIRM EVERYTHING WAS OK WITH THE ACFT. AS WE STARTED THE PUBLISHED MISSED APCH; TWR ISSUED A L TURN TO 140 DEGS. A B737 WAS TAKING OFF ON RWY 22R. TWR ASKED IF WE HAD THEM IN SIGHT. WE DID (SLIGHTLY BELOW US AND CLOSE IN ON THE R SIDE). TWR ADVISED US TO MAINTAIN VISUAL SEPARATION. BOTH ACFT WERE IN L TURNS TO 140 DEGS. WITH OUR BELLY UP TO THE OTHER ACFT; IT WAS IMPOSSIBLE TO MAINTAIN VISUAL CONTACT. ON TCASII; OTHER ACFT WAS OBSERVED DIRECTLY BELOW US AT -100 FT AND CLBING. NO RA WAS ISSUED BECAUSE GPWS HAD BEEN DISABLED. IN ORDER TO MAINTAIN VISUAL SEPARATION; WE MADE AN IMMEDIATE REVERSAL TO A R TURN. OTHER ACFT WAS OBSERVED PASSING DIRECTLY BELOW US IN A L TURN. RWY 27 AND RWY 22L ACFT ARE ON DIFFERENT FREQS; AND THEREFORE; UNAWARE OF INSTRUCTIONS GIVEN TO OTHER ACFT; AND UNABLE TO TALK TO EACH OTHER.",,,,"B737 ACFT ON TKOF SAW ACFT ABOVE JUST AFTER LIFTOFF IN A GAR. CTLR ISSUED RWY HDG CLRNC; BUT IN SPITE OF CTLR ATTEMPTS; BOTH ACFT HAD TO TAKE EVASIVE ACTION.",
374438,199707,1201-1800,BDL,CT,250,6,,2500,VMC,5,,Daylight,3000,,TRACON BDL,Personal,Baron 55/Cochise,,1,Part 91,None,Passenger,,Descent; Descent,,Class C BDL,,,,,,,,,,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Landing; Initial Approach,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Other Other,Flight Crew Last 90 Days 60; Flight Crew Total 6000; Flight Crew Type 2000,,,,374438,,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,Conflict Airborne Conflict; Deviation - Procedural FAR; Inflight Event / Encounter Weather / Turbulence; Other Airspace Violation Entry or Exit,Horizontal 6000; Vertical 500,,Person Air Traffic Control,,Flight Crew Executed Go Around / Missed Approach; General None Reported / Taken,,Human Factors,"OVER CMK VOR AT 9500 FT; I ESTABLISHED FLT FOLLOWING VFR TO HFD; WITH NEW YORK APCH. ON DSCNT AND 30 MI FROM THE ARPT; I BEGAN TO TRACK AN EXPANDING LEVEL I AND LEVEL II (ESTIMATE) TSTM ACTIVITY ON RADAR. NY TERMINATED THE FLT FOLLOWING WITHOUT A HDOF TO BDL APCH CTL. I CONTACTED HFD TWR AND COMMENCED TO MANEUVER N AROUND THE WX AREA. I LEFT HFD TWR TO CALL BDL APCH WHEN I REALIZED THAT I HAD INADVERTENTLY STRAYED INTO BDL CLASS C AIRSPACE WITHOUT FIRST CONTACTING THEM. I LATER LEARNED THAT THE B737; WAS HELD AT ALT TO KEEP OUT OF MY WAY; AND THEN HAD TO GAR FOR ANOTHER ILS APCH. BDL CLRED ME TO HFD FROM THE N. THIS INCIDENT COULD HAVE BEEN AVOIDED IF I HAD NOT BEEN DISTR BY THE WX AREA; AND ATTEMPTED TO MANEUVER AROUND IT WITHOUT THE ASSISTANCE OF RADAR CTLRS AT BDL. IT WOULD NOT HAVE HAPPENED IF NY HAD NOT TERMINATED ME; BUT HANDED ME OFF TO BDL. SPATIAL DISORIENTATION (POS AWARENESS) WITH DISTR WAS THE PROB.",,,,"PLT OF A BEECH BE55; INADVERTENTLY ENTERED CLASS C AIRSPACE WITHOUT FIRST CONTACTING APCH CTL DUE TO CIRCUMNAVING WX AND BEING PREVIOUSLY TERMINATED BY AN ATC FLT FOLLOWING RESULTING IN A CONFLICT WITH A B737. THE RPTR BELIEVED THAT HE WOULD BE HANDED OFF AUTOMATICALLY TO APCH CTL.",
